#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         352    0.936309    0.963956  0.00580924
         353    0.945763    0.963904  0.00579301
         354      0.9557    0.963881  0.00577669
         355    0.964653    0.963883  0.00576042
         356     0.97193    0.963906  0.00574428
         357    0.977861    0.963945  0.00572833
         358    0.983639       0.964  0.00571259
         359    0.990375    0.964073  0.00569715
         360    0.998069    0.964168  0.00568211
         361     1.00541    0.964282  0.00566752
         362     1.01073     0.96441  0.00565331
         363     1.01323    0.964545  0.00563934
         364     1.01334    0.964679  0.00562544
         365     1.01229    0.964809  0.00561154
         366     1.01145    0.964937  0.00559765
         367     1.01177    0.965064  0.00558385
         368     1.01365    0.965196  0.00557024
         369     1.01714    0.965337  0.00555692
         370     1.02194     0.96549  0.00554401
         371      1.0275    0.965657  0.00553159
         372     1.03278    0.965838  0.00551966
         373     1.03613    0.966026  0.00550808
         374     1.03567    0.966212   0.0054965
         375     1.02984    0.966382  0.00548446
         376     1.01808     0.96652  0.00547159
         377     1.00134    0.966612  0.00545786
         378    0.981886    0.966652  0.00544357
         379    0.962487    0.966641  0.00542922
         380    0.945587    0.966586  0.00541522
         381    0.932427    0.966496  0.00540174
         382    0.922688    0.966382  0.00538882
         383    0.914973    0.966247  0.00537642
         384    0.907635    0.966095  0.00536459
         385    0.900013    0.965923   0.0053534
         386    0.893167    0.965735  0.00534285
         387    0.889254    0.965537  0.00533269
         388    0.889806    0.965342  0.00532252
         389    0.894019    0.965158    0.005312
         390    0.899635     0.96499  0.00530103
         391     0.90503    0.964837  0.00528969
         392    0.910297    0.964698  0.00527803
         393     0.91696    0.964576  0.00526599
         394    0.926886    0.964481   0.0052535
         395    0.941162    0.964422  0.00524053
         396     0.95932    0.964409  0.00522731
         397    0.979283    0.964446  0.00521428
         398    0.998064    0.964531  0.00520186
         399     1.01267    0.964651  0.00519022
         400     1.02092    0.964792  0.00517915
         401     1.02163    0.964934  0.00516818
         402     1.01474    0.965058  0.00515681
         403     1.00119    0.965147  0.00514479
         404    0.982818    0.965191  0.00513224
         405    0.962381    0.965184  0.00511957
         406    0.943252     0.96513  0.00510725
         407     0.92867    0.965041  0.00509549
         408    0.921106    0.964933  0.00508413
         409    0.921554    0.964827  0.00507281
         410    0.929534    0.964741  0.00506117
         411    0.943244    0.964689  0.00504912
         412    0.960036    0.964677  0.00503688
         413     0.97688    0.964707  0.00502477
         414    0.990906     0.96477  0.00501303
         415     1.00001    0.964855  0.00500167
         416     1.00281    0.964946  0.00499048
         417    0.999008    0.965028  0.00497918
         418    0.989449    0.965086  0.00496761
         419    0.975879    0.965112  0.00495582
         420    0.960848    0.965102  0.00494404
         421    0.947214    0.965059  0.00493247
         422    0.937679    0.964995  0.00492121
         423    0.934013    0.964921  0.00491012
         424    0.936448    0.964854    0.004899
         425    0.944173    0.964805  0.00488772
         426    0.955743    0.964784  0.00487629
         427    0.969624    0.964796  0.00486488
         428    0.984448    0.964841  0.00485373
         429    0.998968    0.964921  0.00484307
         430     1.01206    0.965031  0.00483305
         431     1.02293    0.965165   0.0048237
         432     1.03129    0.965318  0.00481496
         433     1.03748    0.965485  0.00480673
         434      1.0422    0.965661   0.0047989
         435     1.04613    0.965846  0.00479143
         436     1.04979    0.966039  0.00478431
         437     1.05326    0.966239  0.00477752
         438     1.05623    0.966444  0.00477103
         439      1.0579    0.966652  0.00476471
         440     1.05687    0.966857  0.00475829
         441     1.05114    0.967049  0.00475134
         442     1.03865    0.967211  0.00474335
         443     1.01834    0.967326  0.00473405
         444    0.990689    0.967379  0.00472368
         445    0.957788    0.967357  0.00471311
         446    0.923214    0.967258  0.00470358
         447    0.891244    0.967088  0.00469613
         448    0.866379    0.966863  0.00469103
         449    0.852161    0.966608  0.00468753
         450    0.850133    0.966349  0.00468425
         451    0.859434    0.966112  0.00467986
         452    0.877289    0.965915  0.00467363
         453    0.900192     0.96577  0.00466557
         454    0.924607     0.96568  0.00465617
         455    0.947265    0.965639  0.00464611
         456    0.965846     0.96564  0.00463593
         457    0.978881    0.965669  0.00462587
         458    0.985748    0.965712  0.00461598
         459    0.986693    0.965758  0.00460615
         460    0.982659    0.965795  0.00459628
         461    0.974993    0.965815  0.00458636
         462    0.965114    0.965813  0.00457643
         463    0.954598    0.965789  0.00456661
         464    0.945187    0.965745  0.00455698
         465    0.938262    0.965686  0.00454757
         466    0.934577    0.965619   0.0045383
         467    0.934168    0.965551  0.00452908
         468    0.936418    0.965489  0.00451983
         469    0.940058    0.965435  0.00451052
         470    0.943769    0.965389  0.00450116
         471    0.946426    0.965349  0.00449178
         472    0.947414    0.965311  0.00448242
         473    0.946777    0.965271  0.00447312
         474    0.945477     0.96523  0.00446388
         475    0.944907    0.965187  0.00445468
         476     0.94681    0.965148  0.00444549
         477    0.952607    0.965122  0.00443625
         478    0.962954    0.965117  0.00442697
         479    0.977429    0.965143   0.0044178
         480    0.994524    0.965204  0.00440902
         481      1.0119    0.965301  0.00440093
         482     1.02721     0.96543  0.00439367
         483     1.03844    0.965581  0.00438717
         484      1.0443    0.965744  0.00438112
         485     1.04434    0.965906  0.00437509
         486      1.0387    0.966056  0.00436865
         487       1.028    0.966183  0.00436153
         488     1.01342     0.96628  0.00435366
         489    0.996307    0.966341  0.00434519
         490    0.978415    0.966366  0.00433639
         491    0.961701    0.966356  0.00432757
         492     0.94831    0.966319  0.00431893
         493    0.939819    0.966266  0.00431051
         494    0.937043    0.966206  0.00430219
         495    0.939572    0.966153  0.00429383
         496    0.946143    0.966112  0.00428536
         497    0.954823     0.96609   0.0042768
         498    0.963917    0.966085  0.00426822
         499    0.972081    0.966097  0.00425968
         500    0.978516    0.966122  0.00425123
