#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         637     1.21673     1.20162  0.00150289
         638     1.19319     1.20161   0.0015006
         639     1.22513     1.20165   0.0014987
         640      1.2065     1.20165  0.00149638
         641     1.23526     1.20171  0.00149496
         642     1.21304     1.20172  0.00149274
         643     1.24034     1.20178  0.00149162
         644      1.2339     1.20183  0.00149014
         645     1.21902     1.20186  0.00148807
         646     1.22436      1.2019  0.00148617
         647     1.20824     1.20191  0.00148391
         648     1.21344     1.20192  0.00148172
         649     1.18152     1.20189  0.00147977
         650     1.18441     1.20187  0.00147774
         651     1.17153     1.20182  0.00147621
         652     1.17059     1.20177  0.00147472
         653     1.17963     1.20174  0.00147285
         654     1.16825     1.20169  0.00147149
         655     1.17401     1.20164  0.00146985
         656     1.18153     1.20161  0.00146793
         657     1.17658     1.20157  0.00146619
         658     1.18209     1.20154  0.00146426
         659     1.18694     1.20152   0.0014622
         660     1.19644     1.20152  0.00146001
         661     1.22252     1.20155  0.00145815
         662     1.21587     1.20157   0.0014561
         663     1.21958      1.2016  0.00145416
         664     1.21942     1.20162  0.00145222
         665     1.20185     1.20162  0.00145003
         666     1.19521     1.20161  0.00144789
         667     1.19291      1.2016  0.00144578
         668     1.18767     1.20158  0.00144376
         669     1.18057     1.20155  0.00144195
         670     1.18355     1.20152  0.00144005
         671     1.16098     1.20146  0.00143917
         672     1.16606     1.20141  0.00143799
         673     1.16757     1.20136  0.00143673
         674       1.169     1.20131   0.0014354
         675     1.17454     1.20127  0.00143382
         676     1.16515     1.20122   0.0014327
         677      1.1886      1.2012   0.0014307
         678     1.17566     1.20116  0.00142909
         679     1.15933      1.2011  0.00142831
         680     1.16877     1.20105    0.001427
         681     1.17746     1.20102  0.00142533
         682     1.18296     1.20099  0.00142348
         683     1.19269     1.20098  0.00142145
         684     1.19737     1.20097  0.00141938
         685     1.21238     1.20099  0.00141741
         686     1.19896     1.20099  0.00141534
         687     1.21148       1.201  0.00141337
         688     1.20658     1.20101  0.00141133
         689     1.20753     1.20102  0.00140932
         690     1.21312     1.20104  0.00140738
         691     1.20456     1.20104  0.00140536
         692      1.2049     1.20105  0.00140334
         693     1.21798     1.20107  0.00140152
         694     1.21347     1.20109  0.00139962
         695     1.22635     1.20113  0.00139808
         696     1.20953     1.20114  0.00139612
         697     1.23924     1.20119  0.00139519
         698     1.24508     1.20126   0.0013946
         699     1.23128      1.2013  0.00139327
         700     1.26548     1.20139  0.00139429
         701     1.26575     1.20148  0.00139532
         702     1.27306     1.20158  0.00139706
         703     1.29542     1.20172  0.00140143
         704     1.27844     1.20183  0.00140367
         705     1.26263     1.20191  0.00140433
         706     1.28766     1.20203  0.00140758
         707     1.26868     1.20213  0.00140874
         708     1.26902     1.20222  0.00140992
         709     1.26692     1.20231  0.00141088
         710     1.25827     1.20239  0.00141109
         711     1.27186     1.20249  0.00141249
         712     1.25155     1.20256  0.00141218
         713     1.25651     1.20264  0.00141223
         714     1.25401     1.20271  0.00141208
         715     1.26409     1.20279  0.00141271
         716       1.261     1.20287  0.00141308
         717     1.25368     1.20295  0.00141288
         718     1.25296     1.20301  0.00141263
         719      1.2354     1.20306  0.00141138
         720     1.23184      1.2031  0.00140999
         721     1.19214     1.20308  0.00140812
         722     1.19156     1.20307  0.00140626
         723     1.18304     1.20304  0.00140458
         724     1.19815     1.20303  0.00140266
         725     1.18898     1.20301  0.00140086
         726     1.19955     1.20301  0.00139894
         727     1.20779     1.20302  0.00139703
         728     1.20587     1.20302  0.00139512
         729     1.22668     1.20305  0.00139358
         730     1.22171     1.20308   0.0013919
         731     1.24159     1.20313    0.001391
