#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         397    0.817693    0.802839   0.0051055
         398    0.836009    0.802922  0.00509335
         399    0.850233    0.803041  0.00508196
         400    0.858203    0.803178  0.00507113
         401    0.858825    0.803317  0.00506038
         402    0.852049    0.803438  0.00504924
         403     0.83877    0.803526  0.00503748
         404    0.820791    0.803569  0.00502519
         405    0.800831    0.803562  0.00501279
         406    0.782172    0.803509  0.00500072
         407    0.767993    0.803422  0.00498919
         408     0.76065    0.803317  0.00497806
         409    0.761133    0.803214  0.00496696
         410    0.768963    0.803131  0.00495555
         411    0.782386     0.80308  0.00494375
         412    0.798771     0.80307  0.00493176
         413    0.815188    0.803099  0.00491991
         414    0.828899    0.803161  0.00490842
         415    0.837769    0.803245   0.0048973
         416    0.840489    0.803334  0.00488634
         417    0.836782    0.803414  0.00487528
         418    0.827432    0.803472  0.00486396
         419     0.81417    0.803497  0.00485242
         420     0.79945    0.803488  0.00484087
         421    0.786116    0.803447  0.00482955
         422    0.776787    0.803383  0.00481852
         423    0.773129    0.803312  0.00480766
         424    0.775448    0.803246  0.00479677
         425      0.7829    0.803198  0.00478572
         426    0.794083    0.803177  0.00477454
         427    0.807555    0.803187  0.00476336
         428     0.82198    0.803231  0.00475244
         429    0.836109    0.803308  0.00474198
         430    0.848878    0.803414  0.00473213
         431    0.859499    0.803544  0.00472294
         432    0.867704    0.803692  0.00471435
         433    0.873818    0.803854  0.00470624
         434    0.878481    0.804026  0.00469853
         435    0.882413    0.804206  0.00469119
         436    0.886057    0.804394  0.00468418
         437    0.889482    0.804589  0.00467751
         438    0.892391    0.804789  0.00467112
         439     0.89404    0.804993  0.00466491
         440    0.893008    0.805193  0.00465859
         441    0.887332    0.805379  0.00465175
         442    0.875072    0.805537   0.0046439
         443    0.855194    0.805649  0.00463477
         444    0.828155    0.805699   0.0046246
         445    0.796081    0.805678  0.00461426
         446    0.762378    0.805581  0.00460494
         447    0.731286    0.805414  0.00459763
         448    0.707167    0.805195   0.0045926
         449    0.693458    0.804946  0.00458911
         450    0.691598    0.804694  0.00458582
         451    0.700725    0.804464  0.00458144
         452     0.71823    0.804273  0.00457527
         453    0.740644    0.804133  0.00456733
         454    0.764458    0.804045  0.00455811
         455    0.786601    0.804007  0.00454825
         456    0.804732    0.804008  0.00453828
         457    0.817385    0.804038  0.00452844
         458    0.823998    0.804081  0.00451876
         459    0.824848    0.804127  0.00450914
         460    0.820862    0.804163  0.00449949
         461    0.813265    0.804183  0.00448977
         462    0.803512    0.804181  0.00448005
         463    0.793185    0.804158  0.00447044
         464    0.783895    0.804114  0.00446102
         465    0.777027    0.804056   0.0044518
         466    0.773367     0.80399  0.00444274
         467    0.772937    0.803923  0.00443372
         468    0.775069    0.803862  0.00442468
         469    0.778569    0.803808  0.00441557
         470    0.782139    0.803762  0.00440642
         471    0.784688    0.803721  0.00439725
         472    0.785641    0.803683   0.0043881
         473      0.7851    0.803643    0.004379
         474    0.783909    0.803602  0.00436996
         475    0.783485    0.803559  0.00436096
         476     0.78549    0.803522  0.00435197
         477    0.791304    0.803496  0.00434292
         478    0.801538    0.803492  0.00433383
         479    0.815771    0.803517  0.00432486
         480    0.832472    0.803578  0.00431627
         481    0.849461    0.803673  0.00430835
         482    0.864412    0.803799  0.00430126
         483    0.875372    0.803947   0.0042949
         484    0.881071    0.804107  0.00428899
