#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         509      1.0408     1.12485  0.00581675
         510     1.03588     1.12468  0.00580796
         511     1.04043     1.12452  0.00579893
         512     1.05138     1.12437  0.00578936
         513     1.06375     1.12425  0.00577928
         514     1.07338     1.12416  0.00576889
         515     1.07824     1.12407  0.00575838
         516     1.07829     1.12398   0.0057479
         517      1.0749     1.12388  0.00573757
         518     1.07024     1.12378  0.00572742
         519     1.06678     1.12367  0.00571744
         520     1.06671     1.12356  0.00570749
         521     1.07088     1.12346  0.00569744
         522     1.07826     1.12337  0.00568718
         523     1.08652      1.1233  0.00567674
         524     1.09354     1.12324  0.00566619
         525     1.09828      1.1232   0.0056556
         526     1.10064     1.12315  0.00564501
         527     1.10086     1.12311  0.00563446
         528      1.0991     1.12307  0.00562397
         529     1.09532     1.12301  0.00561358
         530     1.08929     1.12295  0.00560335
         531      1.0807     1.12287  0.00559336
         532     1.06945     1.12277  0.00558375
         533     1.05595     1.12265  0.00557468
         534     1.04112     1.12249  0.00556633
         535     1.02632     1.12231  0.00555883
         536      1.0132     1.12211  0.00555219
         537     1.00371     1.12189  0.00554622
         538    0.999547     1.12166  0.00554057
         539     1.00121     1.12144   0.0055348
         540     1.00742     1.12123  0.00552858
         541     1.01568     1.12103   0.0055218
         542     1.02363     1.12085  0.00551453
         543     1.02993     1.12068  0.00550692
         544      1.0344     1.12053  0.00549908
         545     1.03756     1.12037   0.0054911
         546     1.04029     1.12023    0.005483
         547     1.04365     1.12009  0.00547476
         548     1.04875     1.11996  0.00546632
         549     1.05613     1.11984   0.0054576
         550     1.06525     1.11974  0.00544858
         551     1.07482     1.11966   0.0054393
         552     1.08383     1.11959  0.00542983
         553      1.0922     1.11955  0.00542024
         554     1.10063     1.11951  0.00541056
         555      1.1097     1.11949  0.00540084
         556     1.11888     1.11949  0.00539113
         557     1.12634      1.1195  0.00538146
         558     1.12976     1.11952  0.00537185
         559     1.12768     1.11954  0.00536226
         560     1.12055     1.11954  0.00535269
         561     1.11078     1.11952  0.00534317
         562     1.10193     1.11949  0.00533375
         563     1.09754     1.11945  0.00532442
         564     1.09987     1.11942  0.00531509
         565      1.1093      1.1194  0.00530572
         566     1.12444     1.11941  0.00529635
         567      1.1426     1.11945  0.00528717
         568     1.16055     1.11952  0.00527835
         569     1.17532     1.11962  0.00526999
         570     1.18472     1.11974  0.00526198
         571     1.18755     1.11985   0.0052541
         572     1.18358     1.11997   0.0052461
         573     1.17342     1.12006  0.00523777
         574     1.15841     1.12013  0.00522907
         575     1.14044     1.12016   0.0052201
         576      1.1216     1.12016  0.00521104
         577     1.10382     1.12013  0.00520208
         578     1.08848     1.12008  0.00519337
         579     1.07621        1.12  0.00518495
         580     1.06684     1.11991  0.00517683
         581     1.05954     1.11981  0.00516896
         582     1.05317     1.11969  0.00516134
         583      1.0467     1.11957  0.00515401
         584     1.03966     1.11943    0.005147
         585     1.03235     1.11928  0.00514035
         586     1.02564     1.11912  0.00513407
         587     1.02062     1.11896  0.00512806
         588     1.01831     1.11878   0.0051222
         589     1.01953     1.11862  0.00511627
         590     1.02489     1.11846  0.00511007
         591     1.03454     1.11832  0.00510339
         592     1.04789      1.1182  0.00509616
         593     1.06346      1.1181   0.0050884
         594     1.07931     1.11804  0.00508025
         595     1.09366       1.118  0.00507188
         596      1.1054     1.11798  0.00506341
         597     1.11436     1.11797  0.00505493
         598     1.12105     1.11798  0.00504648
         599     1.12633     1.11799  0.00503808
         600     1.13102     1.11801  0.00502973
         601     1.13556     1.11804  0.00502144
         602     1.13996     1.11808  0.00501324
         603      1.1439     1.11812   0.0050051
         604     1.14692     1.11817  0.00499704
         605     1.14862     1.11822  0.00498904
         606     1.14868     1.11827  0.00498106
         607     1.14696     1.11832  0.00497308
         608     1.14366     1.11836  0.00496507
         609     1.13947     1.11839  0.00495704
         610     1.13553     1.11842  0.00494899
         611     1.13306     1.11844  0.00494095
         612     1.13285     1.11847  0.00493294
         613     1.13499     1.11849  0.00492496
         614     1.13889     1.11853  0.00491705
         615     1.14351     1.11857  0.00490923
         616     1.14747     1.11862  0.00490148
         617     1.14935     1.11866  0.00489379
         618       1.148     1.11871   0.0048861
         619     1.14291     1.11875  0.00487836
         620      1.1342     1.11878  0.00487056
         621      1.1226     1.11878  0.00486272
         622     1.10913     1.11877  0.00485493
         623     1.09489     1.11873  0.00484728
         624     1.08084     1.11867   0.0048399
         625     1.06776     1.11859  0.00483284
         626     1.05629     1.11849  0.00482614
         627     1.04696     1.11837  0.00481979
         628     1.04031     1.11825  0.00481372
         629     1.03675     1.11812  0.00480781
         630     1.03643     1.11799  0.00480193
         631     1.03901     1.11786  0.00479595
         632     1.04373     1.11775   0.0047898
