#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         371      -0.472   -0.460744  0.00261971
         372      -0.504    -0.46086  0.00261524
         373      -0.448   -0.460826  0.00260846
         374      -0.408   -0.460684  0.00260531
         375      -0.416   -0.460565  0.00260108
         376      -0.464   -0.460574  0.00259418
         377      -0.496   -0.460668    0.002589
         378      -0.456   -0.460656  0.00258218
         379      -0.448   -0.460623  0.00257558
         380      -0.576   -0.460926  0.00258664
         381      -0.464   -0.460934  0.00257986
         382      -0.488   -0.461005  0.00257408
         383       -0.48   -0.461055  0.00256784
         384      -0.392   -0.460875  0.00256744
         385       -0.48   -0.460925  0.00256125
         386      -0.408   -0.460788  0.00255829
         387      -0.432   -0.460713  0.00255276
         388      -0.384   -0.460515  0.00255382
         389      -0.456   -0.460504  0.00254728
         390      -0.456   -0.460492  0.00254078
         391      -0.456   -0.460481  0.00253431
         392       -0.44   -0.460429  0.00252838
         393      -0.416   -0.460316  0.00252447
         394      -0.488   -0.460386  0.00251904
         395      -0.344   -0.460091  0.00252984
         396      -0.448   -0.460061  0.00252363
         397      -0.392   -0.459889  0.00252309
         398      -0.408   -0.459759  0.00252012
         399      -0.496    -0.45985  0.00251544
         400       -0.48     -0.4599  0.00250966
         401      -0.472    -0.45993  0.00250358
         402       -0.48    -0.45998  0.00249785
         403      -0.528   -0.460149  0.00249735
         404      -0.584   -0.460455  0.00250991
         405      -0.488   -0.460523  0.00250463
         406      -0.568   -0.460788  0.00251242
         407      -0.464   -0.460796  0.00250626
         408       -0.52   -0.460941  0.00250431
         409      -0.424   -0.460851  0.00249982
         410      -0.504   -0.460956  0.00249593
         411      -0.488   -0.461022  0.00249073
         412        -0.4   -0.460874  0.00248908
         413      -0.464   -0.460881  0.00248307
         414      -0.464   -0.460889  0.00247708
         415       -0.48   -0.460935  0.00247154
         416      -0.464   -0.460942  0.00246561
         417      -0.528   -0.461103  0.00246493
         418      -0.576   -0.461378  0.00247432
         419      -0.456   -0.461365  0.00246844
         420      -0.448   -0.461333  0.00246277
         421       -0.44   -0.461283  0.00245744
         422      -0.456    -0.46127  0.00245165
         423      -0.464   -0.461277  0.00244586
         424       -0.48   -0.461321  0.00244049
         425      -0.456   -0.461308  0.00243478
         426      -0.504   -0.461408  0.00243113
         427       -0.44   -0.461358  0.00242595
         428      -0.448   -0.461327  0.00242049
         429      -0.552   -0.461538  0.00242405
         430      -0.472   -0.461563  0.00241854
         431      -0.352   -0.461309  0.00242625
         432      -0.384    -0.46113  0.00242723
         433      -0.464   -0.461136  0.00242163
         434      -0.456   -0.461124  0.00241608
         435      -0.504   -0.461223  0.00241253
         436       -0.56    -0.46145  0.00241761
         437        -0.4   -0.461309  0.00241617
         438      -0.504   -0.461406  0.00241262
         439      -0.432   -0.461339  0.00240805
         440      -0.488     -0.4614  0.00240334
         441      -0.456   -0.461388  0.00239792
         442      -0.488   -0.461448  0.00239325
         443       -0.52    -0.46158   0.0023915
         444      -0.432   -0.461514  0.00238704
         445      -0.496   -0.461591  0.00238293
         446      -0.416   -0.461489  0.00237978
         447      -0.432   -0.461423  0.00237537
         448      -0.584   -0.461696  0.00238577
         449      -0.568   -0.461933  0.00239218
         450      -0.408   -0.461813  0.00238986
         451      -0.464   -0.461818  0.00238457
         452       -0.48   -0.461858  0.00237963
         453      -0.584   -0.462128  0.00238961
         454      -0.416   -0.462026   0.0023865
         455      -0.456   -0.462013  0.00238129
         456      -0.536   -0.462175  0.00238159
         457      -0.448   -0.462144  0.00237658
         458      -0.552   -0.462341  0.00237948
         459      -0.512   -0.462449  0.00237675
         460      -0.464   -0.462452  0.00237159
         461      -0.456   -0.462438  0.00236649
         462      -0.416   -0.462338   0.0023635
         463      -0.416   -0.462238  0.00236051
         464      -0.496    -0.46231  0.00235654
         465      -0.448    -0.46228  0.00235168
         466      -0.472     -0.4623  0.00234672
         467      -0.512   -0.462407  0.00234411
         468      -0.376   -0.462222  0.00234636
         469      -0.408   -0.462107   0.0023442
         470      -0.544   -0.462281  0.00234568
         471       -0.44   -0.462234  0.00234118
         472      -0.472   -0.462254  0.00233631
         473      -0.368   -0.462055  0.00233985
