#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
             435          0.1408        0.167044      0.00376663
             436           0.052         0.16678      0.00376723
             437           0.148        0.166737      0.00375885
             438          0.0768        0.166532      0.00375587
             439          0.1192        0.166424      0.00374886
             440          0.1792        0.166453      0.00374046
             441          0.2208        0.166576        0.003734
             442          0.2432        0.166749      0.00372958
             443           0.144        0.166698      0.00372151
             444          0.1672        0.166699      0.00371313
             445          0.1928        0.166758      0.00370525
             446          0.2248        0.166888      0.00369923
             447          0.2312        0.167032      0.00369375
             448          0.0768         0.16683      0.00369099
             449          0.0992         0.16668      0.00368584
             450          0.1472        0.166636      0.00367791
             451          0.1448        0.166588      0.00367007
             452           0.116        0.166476      0.00366366
             453          0.2368        0.166631      0.00365886
             454          0.2568         0.16683      0.00365618
             455          0.2528        0.167019      0.00365303
             456          0.2368        0.167172      0.00364822
             457          0.1032        0.167032      0.00364292
             458          0.1312        0.166954      0.00363581
             459          0.1352        0.166885      0.00362854
             460          0.1448        0.166837      0.00362097
             461          0.2688        0.167058      0.00361987
             462          0.2568        0.167252      0.00361724
             463          0.2568        0.167445       0.0036146
             464          0.1448        0.167397      0.00360713
             465          0.1352        0.167327      0.00360004
             466          0.1472        0.167284      0.00359258
             467          0.1352        0.167215      0.00358554
             468          0.3488        0.167603      0.00359881
             469          0.1312        0.167526      0.00359197
             470          0.1928         0.16758      0.00358473
             471           0.208        0.167665      0.00357815
             472          0.0992         0.16752      0.00357351
             473          0.2312        0.167655      0.00356849
             474          0.3008        0.167936        0.003572
             475          0.0928        0.167778      0.00356798
             476          0.0872        0.167608       0.0035645
             477          0.2528        0.167787       0.0035615
             478          0.2688        0.167998      0.00356031
             479          0.1352         0.16793      0.00355353
             480          0.1312        0.167853      0.00354695
             481          0.1792        0.167877      0.00353966
             482          0.0808        0.167696      0.00353692
             483             0.4        0.168177      0.00356215
             484          0.2792        0.168407      0.00356217
             485          0.3648        0.168812      0.00357777
             486          0.1312        0.168734      0.00357124
             487           0.084         0.16856      0.00356814
             488           0.176        0.168575      0.00356087
             489            0.26        0.168762      0.00355849
             490          0.2432        0.168914      0.00355447
             491          0.2888        0.169158       0.0035556
             492          0.1472        0.169114      0.00354866
             493          0.1248        0.169024       0.0035426
             494          0.0768        0.168837      0.00354034
             495          0.0808        0.168659      0.00353765
             496          0.1728        0.168668      0.00353053
             497          0.1928        0.168716      0.00352376
             498          0.0352        0.168448      0.00352687
             499          0.2632        0.168638      0.00352491
             500          0.1672        0.168635      0.00351786
             501           0.148        0.168594      0.00351108
             502          0.1952        0.168647      0.00350449
             503           0.304        0.168916      0.00350784
             504          0.1088        0.168797       0.0035029
             505           0.132        0.168724      0.00349672
             506           0.196        0.168778      0.00349023
             507          0.1832        0.168806      0.00348346
             508           0.228        0.168923      0.00347855
             509          0.3272        0.169234      0.00348559
             510          0.1472        0.169191      0.00347902
             511           0.272        0.169392      0.00347803
             512          0.1768        0.169406      0.00347126
             513          0.2312        0.169527      0.00346659
             514          0.0968        0.169385      0.00346273
             515           0.096        0.169243      0.00345894
             516          0.2592        0.169417      0.00345662
             517          0.0928        0.169269      0.00345311
             518          0.2048        0.169337      0.00344713
             519          0.1312        0.169264      0.00344127
             520          0.1128        0.169155      0.00343636
             521          0.1768         0.16917       0.0034298
             522          0.1672        0.169166      0.00342323
             523          0.2048        0.169234      0.00341736
             524           0.048        0.169003      0.00341866
             525          0.3808        0.169406      0.00343587
             526          0.1152        0.169303      0.00343089
             527          0.1472        0.169261      0.00342463
             528          0.1632         0.16925      0.00341817
             529          0.2048        0.169317      0.00341236
             530          0.1768        0.169331      0.00340596
             531          0.2688        0.169519      0.00340469
             532          0.2568        0.169683      0.00340224
             533          0.1568        0.169659      0.00339594
             534          0.3592        0.170013      0.00340808
             535          0.1032        0.169889        0.003404
             536           0.164        0.169878      0.00339767
             537          0.1928         0.16992      0.00339161
             538           0.128        0.169842       0.0033862
             539           0.196        0.169891      0.00338026
             540          0.0832         0.16973      0.00337781
             541          0.1408        0.169677      0.00337199
             542          0.0872        0.169525       0.0033692
             543          0.2632        0.169697      0.00336741
             544          0.1672        0.169693      0.00336123
             545          0.1568        0.169669      0.00335514
             546          0.3272        0.169958      0.00336138
             547          0.1728        0.169963      0.00335524
             548           0.096        0.169828      0.00335183
             549           0.304        0.170072      0.00335462
             550            0.02        0.169799       0.0033596
             551          0.1832        0.169824      0.00335359
             552          0.0672        0.169638      0.00335267
             553          0.1248        0.169557      0.00334758
             554          0.2472        0.169697      0.00334447
             555          0.2112        0.169772      0.00333928
             556          0.0832        0.169616       0.0033369
             557          0.2272        0.169719      0.00333251
             558          0.0712        0.169543      0.00333122
             559          0.1992        0.169596      0.00332568
             560          0.2112         0.16967      0.00332057
             561          0.1512        0.169637      0.00331481
             562          0.1312        0.169569      0.00330962
             563          0.1128        0.169468      0.00330528
             564           0.148         0.16943      0.00329964
             565          0.1888        0.169464      0.00329398
             566          0.1088        0.169357       0.0032899
             567          0.1952        0.169402      0.00328441
             568           0.096        0.169273      0.00328117
             569           0.144        0.169229      0.00327571
             570          0.1088        0.169123      0.00327167
             571          0.2112        0.169196      0.00326677
             572          0.1672        0.169193      0.00326106
             573          0.1152        0.169099      0.00325673
             574          0.1832        0.169123      0.00325115
             575            0.26        0.169281      0.00324934
             576          0.1128        0.169183      0.00324518
             577          0.2152        0.169263      0.00324053
             578          0.0488        0.169055      0.00324162
             579           0.256        0.169205       0.0032395
             580          0.1992        0.169257      0.00323433
             581          0.1248         0.16918      0.00322966
             582            0.18        0.169199      0.00322417
             583          0.2752         0.16938      0.00322376
             584          0.2248        0.169475      0.00321964
             585          0.1088        0.169372       0.0032158
             586          0.1128        0.169275      0.00321176
             587          0.2792        0.169462      0.00321175
             588          0.0712        0.169295      0.00321063
             589          0.1608        0.169281      0.00320521
             590           0.212        0.169353       0.0032006
             591          0.1832        0.169377      0.00319527
             592          0.1248        0.169301      0.00319076
             593          0.1128        0.169206       0.0031868
             594          0.2272        0.169304      0.00318293
             595           0.112        0.169207      0.00317904
             596          0.0872         0.16907      0.00317668
             597          0.2632        0.169227      0.00317527
             598          0.1568        0.169207      0.00317003
             599          0.1728        0.169213      0.00316474
             600          0.1192        0.169129      0.00316056
             601           0.224        0.169221      0.00315662
             602          0.0832        0.169078      0.00315461
             603          0.2528        0.169217      0.00315243
             604          0.2152        0.169293      0.00314813
             605          0.0392        0.169078      0.00315026
             606          0.2312         0.16918      0.00314673
             607          0.1608        0.169166      0.00314158
             608          0.1512        0.169137      0.00313655
             609          0.1672        0.169134       0.0031314
             610          0.0968        0.169015      0.00312851
             611          0.3168        0.169257      0.00313273
             612          0.0808        0.169112      0.00313094
             613          0.3712        0.169442      0.00314314
             614          0.0552        0.169256      0.00314353
             615          0.1288         0.16919       0.0031391
             616          0.1248        0.169118      0.00313484
             617          0.1792        0.169135       0.0031298
             618          0.2888        0.169328      0.00313072
             619          0.1672        0.169325      0.00312566
             620            0.16         0.16931      0.00312066
             621          0.0832        0.169171      0.00311871
             622           0.228        0.169266      0.00311513
             623          0.2088        0.169329      0.00311078
             624          0.1088        0.169232       0.0031073
             625          0.0808        0.169091      0.00310555
             626          0.1408        0.169045      0.00310092
             627          0.0648        0.168879      0.00310043
             628          0.1888        0.168911      0.00309565
             629          0.1408        0.168866      0.00309105
             630          0.2048        0.168923      0.00308667
             631           0.176        0.168934       0.0030818
             632          0.1728        0.168941      0.00307693
             633          0.0232         0.16871      0.00308067
             634          0.1128        0.168622      0.00307707
             635            0.08        0.168483      0.00307539
             636          0.2248        0.168571      0.00307183
             637           0.084        0.168438      0.00306988
             638          0.2152        0.168512      0.00306594
             639          0.2408        0.168625      0.00306323
             640          0.1472        0.168591      0.00305862
             641          0.3648        0.168897      0.00306913
             642          0.2368        0.169003      0.00306617
             643           0.116        0.168921      0.00306251
             644          0.1032        0.168819      0.00305946
             645          0.3688        0.169129      0.00307038
             646          0.1952        0.169169       0.0030659
             647          0.2688        0.169323      0.00306502
             648          0.2632        0.169468      0.00306371
             649          0.1088        0.169374      0.00306042
             650          0.1928         0.16941      0.00305592
             651          0.2792        0.169579      0.00305588
             652          0.1632        0.169569      0.00305121
             653          0.0968        0.169458      0.00304857
             654           0.036        0.169254      0.00305073
             655          0.2728        0.169412      0.00305017
             656          0.0448        0.169222      0.00305143
             657          0.1352         0.16917      0.00304722
             658           0.192        0.169205      0.00304279
             659          0.2632        0.169347      0.00304151
             660          0.2792        0.169514      0.00304145
             661          0.0712        0.169365      0.00304049
             662          0.1088        0.169274      0.00303727
             663           0.208        0.169332      0.00303325
             664          0.0768        0.169193      0.00303188
             665          0.0832        0.169063      0.00303008
             666          0.1032        0.168965      0.00302714
             667          0.2088        0.169024      0.00302319
             668          0.0808        0.168892      0.00302155
             669          0.0488        0.168713      0.00302236
             670          0.0488        0.168534      0.00302315
             671          0.0832        0.168407      0.00302131
             672          0.2912        0.168589      0.00302234
             673          0.1248        0.168524      0.00301855
             674           0.132         0.16847      0.00301456
             675          0.1248        0.168405      0.00301078
             676          0.1312         0.16835      0.00300683
             677          0.1952         0.16839      0.00300265
             678          0.1472        0.168359      0.00299839
             679          0.2208        0.168436      0.00299497
             680          0.0488         0.16826      0.00299572
             681          0.1728        0.168267      0.00299133
             682          0.1312        0.168212      0.00298744
             683          0.1088        0.168125      0.00298433
             684          0.1088        0.168039      0.00298123
             685          0.0768        0.167905      0.00297985
             686          0.1672        0.167904      0.00297551
             687           0.144         0.16787      0.00297138
             688          0.2912        0.168049      0.00297246
             689          0.1288        0.167992      0.00296869
             690          0.1288        0.167935      0.00296494
             691          0.0512        0.167766      0.00296545
             692           0.112        0.167686      0.00296226
             693          0.1248        0.167624      0.00295864
             694          0.0768        0.167493      0.00295726
             695          0.0288        0.167293      0.00295974
             696          0.2272        0.167379      0.00295673
             697          0.2208        0.167456      0.00295349
             698           0.192        0.167491      0.00294946
             699          0.1128        0.167413      0.00294628
             700          0.1608        0.167403      0.00294209
             701          0.1672        0.167403      0.00293789
             702          0.2152        0.167471      0.00293449
             703          0.3488        0.167729      0.00294163
             704          0.0768          0.1676      0.00294029
             705          0.1992        0.167645      0.00293646
             706          0.1152        0.167571      0.00293324
             707          0.2272        0.167655       0.0029303
             708          0.1792        0.167671      0.00292621
             709          0.1192        0.167603      0.00292288
             710           0.068        0.167463      0.00292213
             711          0.2048        0.167515      0.00291849
             712           0.404        0.167847      0.00293323
             713          0.2592        0.167975      0.00293192
             714          0.2432        0.168081       0.0029297
             715          0.1352        0.168035      0.00292596
             716           0.324        0.168253      0.00292998
             717          0.2312         0.16834       0.0029272
             718          0.1728        0.168347      0.00292313
             719          0.0808        0.168225       0.0029216
             720          0.1952        0.168262      0.00291779
             721          0.0928        0.168158      0.00291561
             722           0.304        0.168346      0.00291764
             723          0.1088        0.168263      0.00291477
             724          0.1632        0.168256      0.00291075
             725          0.3552        0.168514      0.00291813
             726           0.112        0.168436      0.00291515
             727          0.1152        0.168363      0.00291206
             728           0.272        0.168505      0.00291154
             729          0.1832        0.168526      0.00290762
             730          0.1248        0.168466      0.00290425
             731          0.1128         0.16839      0.00290127
             732           0.116        0.168318      0.00289819
             733          0.1472        0.168289      0.00289438
             734          0.3072        0.168478      0.00289662
             735          0.4552        0.168869      0.00291883
             736          0.4808        0.169292      0.00294547
             737          0.1672         0.16929      0.00294148
             738          0.2472        0.169395      0.00293939
