#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
             484           1.616         1.31665       0.0390937
             485             1.9         1.31786       0.0390316
             486            1.16         1.31753       0.0389527
             487           1.148         1.31718       0.0388742
             488           1.928         1.31843       0.0388147
             489           6.512         1.32906       0.0401621
             490            0.24         1.32683       0.0401416
             491           1.656          1.3275       0.0400655
             492            3.78         1.33249       0.0402929
             493           5.224         1.34038       0.0409771
             494            0.64         1.33896       0.0409187
             495           2.816         1.34195       0.0409446
             496           1.528         1.34232       0.0408638
             497           0.596         1.34082       0.0408092
             498           2.608         1.34337       0.0408065
             499           1.056         1.34279       0.0407288
             500           0.312         1.34073       0.0406994
             501           1.776          1.3416       0.0406275
             502           0.976         1.34087       0.0405531
             503            1.18         1.34055       0.0404737
             504           2.056         1.34197       0.0404183
             505           0.644         1.34059       0.0403619
             506           0.584         1.33909       0.0403098
             507           0.648         1.33773       0.0402533
             508           1.368         1.33779       0.0401741
             509            0.68          1.3365        0.040116
             510            0.68         1.33521        0.040058
             511            1.08         1.33471       0.0399827
             512           1.248         1.33454        0.039905
             513            0.26         1.33244       0.0398821
             514           1.716         1.33319       0.0398115
             515           0.408         1.33139       0.0397747
             516           1.768         1.33224       0.0397066
             517           0.924         1.33145       0.0396377
             518           2.416         1.33354       0.0396164
             519           1.912         1.33466       0.0395558
             520           1.884         1.33572       0.0394938
             521           1.736         1.33648       0.0394255
             522           0.912         1.33567       0.0393583
             523           1.372         1.33574       0.0392831
             524           0.108          1.3334        0.039278
             525             2.1         1.33486       0.0392303
             526            0.74         1.33373        0.039172
             527           0.852         1.33281       0.0391083
             528           1.624         1.33336       0.0390382
             529           0.508          1.3318       0.0389955
             530           1.288         1.33172        0.038922
             531            1.16          1.3314       0.0388501
             532           1.628         1.33195       0.0387811
             533           2.516         1.33418       0.0387719
             534           1.008         1.33357       0.0387041
             535           1.672          1.3342       0.0386369
             536            1.16         1.33387       0.0385662
             537           0.464         1.33225       0.0385284
             538            3.12         1.33558       0.0385998
             539             1.3         1.33551       0.0385282
             540           1.576         1.33596       0.0384595
