#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             424           0.008       0.0373491      0.00692311
             425           0.008         0.03728      0.00690716
             426           0.028       0.0372582      0.00689098
             427           0.024       0.0372272      0.00687491
             428          -0.084       0.0369439      0.00686468
             429           0.148       0.0372028      0.00685356
             430           -0.04       0.0370233      0.00683997
             431           0.032       0.0370116      0.00682411
             432     2.08167e-18       0.0369259      0.00680885
             433            0.22       0.0373487      0.00680624
             434          -0.104        0.037023      0.00679835
             435          -0.068       0.0367816      0.00678701
             436          -0.408       0.0357615      0.00684768
             437          -0.184       0.0352586      0.00685045
             438          -0.088       0.0349772      0.00684059
             439          -0.144       0.0345695      0.00683714
             440          -0.076       0.0343182      0.00682622
             441           0.028       0.0343039      0.00681076
             442           0.176       0.0346244      0.00680289
             443            0.12       0.0348172      0.00679026
             444           0.228       0.0352523      0.00678889
             445            0.14       0.0354876      0.00677772
             446           0.308       0.0360987      0.00679001
             447           0.168       0.0363937      0.00678122
             448            -0.2       0.0358661      0.00678659
             449           0.168       0.0361604      0.00677785
             450          -0.076       0.0359111      0.00676737
             451     3.46945e-18       0.0358315      0.00675283
             452          -0.116       0.0354956      0.00674624
             453           0.204       0.0358675       0.0067416
             454           0.112       0.0360352      0.00672883
             455          -0.044       0.0358593      0.00671634
             456           -0.48       0.0347281      0.00679622
             457           0.032       0.0347221      0.00678135
             458          -0.156       0.0343057      0.00677932
             459          -0.084       0.0340479      0.00676945
             460           0.048       0.0340783       0.0067548
             461           0.108       0.0342386      0.00674205
             462             0.1        0.034381      0.00672896
             463           0.144       0.0346177      0.00671859
             464          -0.148       0.0342241      0.00671563
             465          -0.092       0.0339527      0.00670667
             466            -0.3       0.0332361      0.00673045
             467           0.092       0.0333619      0.00671722
             468           0.124       0.0335556      0.00670566
             469           0.108       0.0337143      0.00669324
             470           0.044       0.0337362      0.00667903
             471           0.148       0.0339788      0.00666926
             472          -0.012       0.0338814      0.00665584
             473          -0.168       0.0334545      0.00665544
             474          -0.172       0.0330211       0.0066555
             475          -0.096       0.0327495      0.00664702
             476           0.036       0.0327563      0.00663306
             477          -0.028       0.0326289      0.00662038
             478          -0.088       0.0323766      0.00661134
             479           0.144       0.0326096      0.00660164
             480          -0.012       0.0325167      0.00658854
             481           0.172       0.0328067      0.00658122
             482           0.008       0.0327552      0.00656777
             483           0.016       0.0327205      0.00655426
             484           0.128       0.0329174      0.00654368
             485          -0.036       0.0327753      0.00653173
             486          -0.044       0.0326173       0.0065202
             487          -0.124       0.0322957      0.00651474
             488          -0.056       0.0321148       0.0065039
             489          -0.116       0.0318119      0.00649765
             490          -0.084       0.0315755      0.00648868
             491            0.06       0.0316334      0.00647573
             492          -0.092       0.0313821      0.00646744
             493          -0.208       0.0308966      0.00647252
             494          -0.348       0.0301296      0.00650471
             495          -0.296       0.0294707      0.00652485
             496          -0.216       0.0289758      0.00653043
             497           0.168       0.0292555      0.00652328
             498          -0.172       0.0288514      0.00652269
             499          -0.088       0.0286172      0.00651382
             500          -0.008        0.028544       0.0065012
             501           0.016        0.028519      0.00648828
             502          -0.112        0.028239      0.00648139
             503           0.076        0.028334       0.0064692
             504           0.276       0.0288254        0.006475
             505           0.244       0.0292515      0.00647618
             506           0.056       0.0293043       0.0064636
             507             0.1       0.0294438      0.00645235
             508          -0.072       0.0292441      0.00644274
             509           0.164       0.0295088      0.00643552
             510           0.064       0.0295765      0.00642326
             511            0.08       0.0296751      0.00641144
             512           0.168       0.0299453      0.00640461
             513          -0.044       0.0298012      0.00639375
             514           0.056       0.0298521      0.00638151
             515           0.164       0.0301126      0.00637443
             516            0.04       0.0301318      0.00636211
             517           -0.06       0.0299574      0.00635219
             518           0.048       0.0299923      0.00634002
             519           0.168       0.0302582      0.00633338
             520    -2.08167e-18          0.0302      0.00632147
             521          -0.044       0.0300576      0.00631094
             522           0.048        0.030092      0.00629894
             523             0.2       0.0304168      0.00629527
             524          -0.008       0.0303435      0.00628369
             525           0.324       0.0309029      0.00629656
             526           0.132       0.0310951      0.00628753
             527          -0.136        0.030778      0.00628358
             528          -0.008       0.0307045      0.00627211
             529            0.08       0.0307977      0.00626095
             530           0.008       0.0307547      0.00624928
             531           0.316       0.0312919      0.00626056
             532           0.256       0.0317143      0.00626302
             533           -0.06       0.0315422      0.00625364
             534            -0.1       0.0312959      0.00624678
             535          -0.004       0.0312299      0.00623545
             536           0.176          0.0315      0.00622966
             537           0.136       0.0316946       0.0062211
             538           -0.12       0.0314126      0.00621592
             539          -0.064       0.0312356      0.00620691
             540           0.288       0.0317111       0.0062136
             541           0.056        0.031756      0.00620228
             542           0.016       0.0317269       0.0061909
             543           0.052       0.0317643      0.00617961
             544           -0.04       0.0316324      0.00616966
             545          -0.184       0.0312367      0.00617102
             546           0.032       0.0312381      0.00615971
             547            0.28       0.0316929      0.00616522
             548           0.152       0.0319124      0.00615788
             549           0.044       0.0319344       0.0061467
             550            0.32       0.0324582       0.0061578
             551           -0.24       0.0319637      0.00616644
             552          -0.028       0.0318551      0.00615623
             553           0.052       0.0318915       0.0061452
             554           0.024       0.0318773      0.00613413
             555           0.192       0.0321658      0.00612986
             556           -0.14       0.0318561      0.00612665
             557          -0.128       0.0315691      0.00612237
             558           0.136       0.0317563      0.00611425
             559           0.236       0.0321216      0.00611422
             560           0.332       0.0326571      0.00612671
             561           0.064        0.032713      0.00611604
             562           0.148       0.0329181       0.0061086
             563           0.408       0.0335844      0.00613397
             564           0.148       0.0337872      0.00612645
             565            0.26       0.0341876      0.00612868
             566           0.212       0.0345018      0.00612589
             567           0.068       0.0345608      0.00611538
             568           0.056       0.0345986      0.00610473
             569           0.004       0.0345448      0.00609423
             570            0.02       0.0345193      0.00608359
             571          -0.308       0.0339194      0.00610244
             572           0.116       0.0340629      0.00609346
             573           0.356       0.0346248      0.00610867
             574          -0.168       0.0342718      0.00610822
             575          -0.028       0.0341635      0.00609856
             576          -0.036       0.0340417      0.00608919
             577            0.22        0.034364      0.00608716
             578           0.256       0.0347474      0.00608869
             579           0.036       0.0347496      0.00607818
             580          -0.076       0.0345586       0.0060707
             581          -0.072       0.0343752      0.00606302
             582           0.084       0.0344605       0.0060532
             583            0.18       0.0347101      0.00604796
             584           0.068       0.0347671      0.00603787
             585          -0.264       0.0342564      0.00604911
             586           0.044        0.034273      0.00603881
             587          -0.048       0.0341329      0.00603015
             588            0.16       0.0343469       0.0060237
             589           0.096       0.0344516      0.00601438
             590           -0.02       0.0343593      0.00600489
             591            0.06       0.0344027      0.00599489
             592            0.06       0.0344459      0.00598492
             593           0.008       0.0344013      0.00597499
             594          -0.256       0.0339125       0.0059849
             595          -0.232       0.0334655       0.0059915
             596          -0.084       0.0332685      0.00598469
             597          -0.088       0.0330653      0.00597811
             598            0.14       0.0332441      0.00597079
             599           0.244        0.033596      0.00597118
             600          -0.016       0.0335133       0.0059618
             601          -0.132       0.0332379      0.00595824
             602          -0.048        0.033103      0.00594987
             603            0.12       0.0332471      0.00594175
             604           0.108       0.0333709       0.0059332
             605           0.072       0.0334347      0.00592374
             606           0.136        0.033604      0.00591638
             607           0.232       0.0339308      0.00591565
             608          -0.072       0.0337566      0.00590849
             609          -0.064       0.0335961      0.00590097
             610            -0.1        0.033377      0.00589535
             611           0.124       0.0335254      0.00588757
             612          -0.044       0.0333987      0.00587931
             613           0.072       0.0334617      0.00587006
             614            0.06       0.0335049      0.00586066
             615            0.12       0.0336455      0.00585282
             616          -0.388        0.032961       0.0058832
             617          -0.024       0.0328687      0.00587439
             618           0.136       0.0330356      0.00586726
             619           0.024        0.033021       0.0058578
             620           -0.06        0.032871      0.00585027
             621           0.256       0.0332303      0.00585187
             622           0.156       0.0334277      0.00584579
             623     6.93889e-19        0.033374      0.00583666
             624           0.152       0.0335641       0.0058304
             625           0.032       0.0335616      0.00582107
             626           0.144        0.033738      0.00581444
             627            0.14       0.0339075      0.00580764
             628          -0.008       0.0338408      0.00579877
             629          -0.016       0.0337615       0.0057901
             630           0.084       0.0338413      0.00578146
             631          -0.124       0.0335911       0.0057777
             632            0.16       0.0337911      0.00577202
             633           0.312       0.0342306      0.00577961
             634           0.088       0.0343155      0.00577112
             635          -0.068       0.0341543      0.00576428
             636            0.12       0.0342893      0.00575679
             637           0.148       0.0344678      0.00575052
             638          -0.068       0.0343072      0.00574375
             639           0.012       0.0342723      0.00573487
             640          -0.092        0.034075       0.0057293
             641           -0.08        0.033897      0.00572313
             642           -0.12       0.0336573      0.00571923
             643           0.244       0.0339844      0.00571968
             644           0.376       0.0345155      0.00573541
             645           0.096       0.0346109      0.00572731
             646           0.052       0.0346378       0.0057185
             647           0.096       0.0347326      0.00571045
             648          -0.016       0.0346543      0.00570218
             649            0.04       0.0346626       0.0056934
             650          -0.108       0.0344431      0.00568887
             651           0.272        0.034808      0.00569182
             652           -0.06       0.0346626      0.00568495
             653          -0.112        0.034438      0.00568067
             654           0.136       0.0345933      0.00567411
             655          -0.148       0.0343145      0.00567229
             656           0.148       0.0344878      0.00566629
             657           0.124        0.034624      0.00565931
             658          -0.012       0.0345532      0.00565115
             659            0.08       0.0346222      0.00564299
             660           0.132       0.0347697      0.00563637
             661            0.14       0.0349289      0.00563009
             662          -0.008        0.034864      0.00562196
             663           0.092       0.0349502      0.00561414
             664            0.12       0.0350783      0.00560715
             665           0.276       0.0354406      0.00561041
             666          -0.012       0.0353694      0.00560244
             667             0.1       0.0354663      0.00559487
             668           0.308       0.0358743      0.00560136
             669           0.116        0.035994      0.00559426
             670          -0.108       0.0357791      0.00559004
             671          -0.168       0.0354754      0.00558995
             672           0.008       0.0354345      0.00558178
             673               0       0.0353819      0.00557374
             674          -0.008       0.0353175      0.00556584
             675          -0.024       0.0352296      0.00555829
             676           0.052       0.0352544      0.00555012
             677           0.064       0.0352969      0.00554209
             678           -0.02       0.0352153      0.00553451
             679          -0.048       0.0350928      0.00552772
             680          -0.036       0.0349882      0.00552058
             681          -0.064       0.0348429      0.00551438
             682          -0.296       0.0343578      0.00552759
             683            0.22       0.0346296      0.00552618
             684           0.104        0.034731      0.00551903
             685          -0.048       0.0346102       0.0055123
             686          -0.016       0.0345364      0.00550475
             687           0.156       0.0347132      0.00549958
             688           -0.08       0.0345465      0.00549411
             689           0.164       0.0347344      0.00548935
             690            0.08          0.0348      0.00548179
             691           0.128       0.0349349      0.00547551
             692          -0.076       0.0347746      0.00546995
             693           0.088       0.0348514      0.00546259
             694            0.18       0.0350605      0.00545872
             695            0.22       0.0353266      0.00545735
             696          -0.084       0.0351552       0.0054522
             697            0.04       0.0351621      0.00544438
             698          -0.168       0.0348711      0.00544436
             699          -0.148       0.0346094      0.00544285
             700          -0.016       0.0345371      0.00543556
             701          -0.004       0.0344822      0.00542808
             702           -0.24       0.0340912      0.00543441
             703           0.116       0.0342077      0.00542793
             704           -0.06       0.0340739      0.00542187
             705          -0.344       0.0335376      0.00544064
             706           0.168        0.033728      0.00543626
             707           0.056       0.0337595      0.00542867
             708           0.204           0.034      0.00542632
             709          -0.048       0.0338843       0.0054199
             710           0.172       0.0340789      0.00541576
             711           0.088       0.0341547      0.00540867
             712          -0.168       0.0338708      0.00540852
             713          -0.096       0.0336886        0.005404
             714            0.18       0.0338936      0.00540032
             715           0.116       0.0340084      0.00539398
             716           0.072       0.0340615      0.00538671
             717           0.012       0.0340307      0.00537929
             718           0.048       0.0340501      0.00537183
             719           -0.02        0.033975      0.00536488
             720           0.044       0.0339889      0.00535745
