#     GENERATION:   L1:   BEST HALF <L1>:
         675     5.26315     5.48064
         676     5.26315     5.27351
         677     5.26315     5.29838
         678     5.26315     5.26315
         679     5.26315     5.26315
         680     5.26315     5.26315
         681     5.26315     5.26315
         682     5.26315     5.26315
         683     5.26315     5.26315
         684     5.26315     5.26315
         685     5.26315     5.26315
         686     5.26315     5.26315
         687     5.26315     5.26315
         688     5.26315     5.26335
         689     5.26315      5.2646
         690     5.26315     5.26861
         691     5.26315     5.29643
         692     5.26315     5.27032
         693     5.26315     5.26315
         694     5.26315     5.26315
         695     5.26315     5.26638
         696     5.26315     5.26315
         697     5.26315     5.26315
         698     5.26315     5.26315
         699     5.26315     5.26315
         700     5.26315     5.26315
         701     5.26315     5.26315
         702     5.26315     5.26315
         703     5.26315     5.26315
         704     5.26315     5.26315
         705     5.26315     5.26315
         706     5.26315     5.26315
         707     5.26315     5.26315
         708     5.26315     5.26315
         709     5.26315     5.26315
         710     5.26315     5.26315
         711     5.26315     5.26315
         712     5.26315     5.26315
         713     5.26315     5.26315
         714     5.26315     5.26315
         715     5.26315     5.26315
         716     5.26315     5.26315
         717     5.26315     5.26315
         718     5.26315     5.26315
         719     5.26315     5.26315
         720     5.26315     5.26315
         721     5.26315     5.27611
         722     5.26315     5.26476
         723     5.26315     5.26315
         724     5.26315     5.26315
         725     5.26315     5.26315
         726     5.26315     5.26315
         727     5.26315     5.26315
         728     5.26315     5.26315
         729     5.26315     5.26315
         730     5.26315     5.26315
         731     5.26315     5.26315
         732     5.26315     5.26315
         733     5.26315     5.26315
         734     5.26315     5.26315
         735     5.26315     5.27592
         736     5.26315     5.26315
         737     5.26315     5.26315
         738     5.26315     5.26315
         739     5.26315     5.26315
         740     5.26315     5.26315
         741     5.26315     5.26315
         742     5.26315     5.26315
         743     5.26315     5.26315
         744     5.26315     5.26315
         745     5.26315     5.26315
         746     5.26315     5.26315
         747     5.26315     5.26315
         748     5.26315     5.26315
         749     5.26315     5.26315
         750     5.26315     5.26315
         751     5.26315     5.26315
         752     5.26315     5.26315
         753     5.26315     5.26315
         754     5.26315     5.26315
         755     5.26315     5.26315
         756     5.26315     5.26315
         757     5.26315     5.26315
         758     5.26315     5.26315
         759     5.26315     5.26315
         760     5.26315     5.26315
         761     5.26315     5.26315
         762     5.26315     5.26315
         763     5.26315     5.26315
         764     5.26315     5.26315
         765     5.26315     5.26315
         766     5.26315     5.26315
         767     5.26315     5.26315
         768     5.26315     5.26315
         769     5.26315     5.26315
         770     5.26315     5.26315
         771     5.26315     5.26315
         772     5.26315     5.26315
         773     5.26315     5.26315
         774     5.26315     5.26315
         775     5.26315     5.26315
         776     5.26315     5.26315
         777     5.26315     5.26315
         778     5.26315     5.26315
         779     5.26315     5.26315
         780     5.26315     5.26315
         781     5.26315     5.26315
         782     5.26315     5.26315
         783     5.26315     5.26315
         784     5.26315     5.26315
         785     5.26315     5.26471
         786     5.26315     5.26315
         787     5.26315     5.26315
         788     5.26315     5.26315
         789     5.26315     5.26315
         790     5.26315     5.26315
         791     5.26315     5.26315
         792     5.26315     5.26315
         793     5.26315     5.26315
         794     5.26315     5.26315
         795     5.26315     5.26315
         796     5.26315     5.26315
         797     5.26315     5.26315
         798     5.26315     5.29188
         799     5.26315     5.27115
         800     5.26315     5.26315
         801     5.26315     5.26315
         802     5.26315     5.26315
         803     5.26315     5.26315
         804     5.26315     5.26315
         805     5.26315     5.26315
         806     5.26315     5.26315
         807     5.26315     5.26315
         808     5.26315     5.26315
         809     5.26315     5.26315
         810     5.26315     5.26315
         811     5.26315     5.26315
         812     5.26315     5.26315
         813     5.26315     5.26315
         814     5.12024     5.26029
         815     5.12024     5.28217
         816     5.12024     5.20884
         817     5.12024     5.20661
         818     5.12024     5.15538
         819     5.12024     5.13453
         820     5.12024     5.12024
         821     5.12024     5.12024
         822     5.12024     5.12024
         823     5.12024     5.12024
         824     5.09484     5.11973
         825     5.09484      5.1177
         826     5.08523     5.11141
         827     5.08523     5.10638
         828     5.08523     5.09576
         829     5.08523     5.08926
         830     5.08523     5.09014
         831     5.08523     5.08523
         832     5.08523     5.08523
         833     5.08523     5.08523
         834     5.08523     5.08523
         835     5.08523     5.11227
         836     5.08523     5.17704
         837     5.08523     5.09266
         838     5.08523     5.08523
         839     5.08523     5.08523
         840     5.08523     5.08523
         841     5.08523     5.08523
         842     5.08523     5.12034
         843     5.08523     5.08877
         844     5.08523     5.08523
         845     5.08523     5.08523
         846     5.08523     5.08523
         847     5.08523     5.08664
         848     5.08523     5.08523
         849     5.08523     5.08523
         850     5.08523     5.08523
         851     5.08523     5.08523
         852     5.08523     5.08523
         853     5.08523     5.08523
         854     5.08523     5.08523
         855     5.08523     5.08523
         856     5.08523     5.08523
         857     5.08523     5.08523
         858     5.08523     5.08523
         859     5.08523     5.08523
         860     5.08523     5.08523
         861     5.08523     5.08523
         862     5.08523     5.08523
         863     5.08523     5.08523
         864     5.08523     5.08523
         865     5.08523     5.08523
         866     5.08523     5.08523
         867     5.08523     5.08523
         868     5.08523     5.08844
         869     5.08523     5.08523
         870     5.08523     5.08523
         871     5.08523     5.08523
         872     5.08523     5.08523
         873     5.08523     5.08523
         874     5.08523     5.08523
         875     5.08523     5.08523
         876     5.08523     5.08523
         877     5.08523     5.08523
         878     5.08523     5.08523
         879     5.08523     5.08523
         880     5.08523     5.08523
         881     5.08523     5.08523
         882     5.08523     5.08523
         883     5.08523     5.08523
         884     5.08523     5.08523
         885     5.08523     5.08523
         886     5.08523     5.08523
         887     5.08523     5.08523
         888     5.08523      5.0883
         889     5.08523     5.08523
         890     5.08523     5.08523
         891     5.08523     5.08523
         892     5.08523     5.08523
         893     5.08523     5.08523
         894     5.08523     5.08523
         895     5.08523     5.08523
         896     5.08523     5.14578
         897     5.08523     5.08972
         898     5.08523     5.08523
         899     5.08523     5.08523
         900     5.08523     5.08523
         901     5.08523     5.08523
         902     5.08523     5.08523
         903     5.08523     5.08523
         904     5.08523     5.08523
         905     5.08523     5.08523
         906     5.08523     5.08523
         907     5.08523     5.08523
         908     5.08523     5.08523
         909     5.08523      5.1121
         910     5.08523     5.12683
         911     5.08523     5.08523
         912     5.08523     5.08523
         913     5.08523     5.08523
         914     5.08523     5.08523
         915     5.08523     5.10538
         916     5.08523     5.08589
         917     5.08523     5.08846
         918     5.08523     5.09404
         919     5.08523     5.08523
         920     5.08523     5.09377
         921     5.08523     5.17013
         922     5.08523     5.09192
         923     5.08523     5.08523
         924     5.08523     5.08523
         925     5.08523     5.08523
         926     5.08523     5.17874
         927     5.08523     5.08586
         928     5.08523     5.09914
         929     5.08523     5.08523
         930     5.08523     5.08523
         931     5.08523     5.08523
         932     5.08523     5.08523
         933     5.08523     5.08523
         934     5.08523     5.08523
         935     5.08523     5.08523
         936     5.08523     5.08523
         937     5.08523     5.08523
         938     5.08523     5.08523
         939     5.08523     5.08523
         940     5.08523     5.08523
         941     5.08523     5.08523
         942     5.08523     5.08523
         943     5.08523     5.08523
         944     5.08523     5.08523
         945     5.08523     5.08523
         946     5.08523     5.08523
         947     5.08523     5.08523
         948     5.08523     5.13944
         949     5.08523     5.08523
         950     5.08523     5.08523
         951     5.08523     5.09015
         952     5.08523     5.08523
         953     5.08523     5.08523
         954     5.08523     5.10789
         955     5.08523     5.13698
         956     5.08523     5.08523
         957     5.08523     5.08523
         958     5.08523     5.08523
         959     5.08523     5.08523
         960     5.08523     5.08523
         961     5.08523     5.08523
         962     5.08523     5.08523
         963     5.08523     5.08523
         964     5.08523     5.08523
         965     5.08523     5.08523
         966     5.08523     5.08523
         967     5.08523     5.08523
         968     5.08523     5.08523
         969     5.08523     5.08523
         970     5.08523     5.08523
         971     5.08523     5.08523
         972     5.08523     5.08523
         973     5.08523     5.08523
         974     5.08523     5.08523
         975     5.08523     5.08523
         976     5.08523     5.11982
         977     5.08523     5.08523
         978     5.08523     5.08523
         979     5.08523     5.08523
         980     5.08523     5.08523
         981     5.08523     5.08523
         982     5.08523     5.08523
         983     5.08523     5.08523
         984     5.08523     5.08523
         985     5.08523     5.08523
         986     5.08523     5.08523
         987     5.08523     5.08523
         988     5.08523     5.10818
         989     5.08523     5.08523
         990     5.08523     5.21254
         991     5.08523     5.15667
         992     5.08523     5.10326
         993     5.08523     5.08523
         994     5.08523     5.08523
         995     5.08523     5.08523
         996     5.08523     5.08523
         997     5.08523     5.08523
         998     5.08523     5.11895
         999     5.08523     5.09173
        1000     5.08523     5.10977
