#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             319          -0.012       0.0362759      0.00945779
             320           0.068        0.036375      0.00942876
             321          -0.208       0.0356137      0.00943007
             322          -0.088       0.0352298      0.00940859
             323           0.216       0.0357895      0.00939609
             324            0.28       0.0365432      0.00939728
             325           0.108       0.0367631      0.00937093
             326           0.172       0.0371779      0.00935137
             327           0.068       0.0372722      0.00932324
             328           0.428       0.0384634      0.00937061
             329           0.276       0.0391854       0.0093699
             330    -2.77556e-18       0.0390667      0.00934226
             331          -0.204       0.0383323      0.00934285
             332           0.064       0.0384096      0.00931503
             333          -0.024       0.0382222      0.00928895
             334          -0.192       0.0375329      0.00928667
             335           -0.14        0.037003      0.00927406
             336           0.012       0.0369286      0.00924676
             337            0.04       0.0369377      0.00921932
             338           0.124       0.0371953      0.00919565
             339           0.028       0.0371681      0.00916856
             340          -0.016       0.0370118      0.00914293
             341           0.136       0.0373021      0.00912072
             342           0.164       0.0376725      0.00910157
             343            0.16       0.0380292      0.00908202
             344          -0.076       0.0376977      0.00906167
             345           0.048       0.0377275      0.00903545
             346           0.004       0.0376301      0.00900986
             347           0.048       0.0376599      0.00898395
             348          -0.076       0.0373333      0.00896407
             349           0.244       0.0379255      0.00895792
             350           0.244       0.0385143      0.00895166
             351          -0.044       0.0382792      0.00892924
             352          -0.184       0.0376477      0.00892617
             353          -0.068       0.0373484       0.0089059
             354            -0.4        0.036113      0.00896603
             355           0.004       0.0360225      0.00894123
             356           0.132       0.0362921      0.00892017
             357          -0.104       0.0358992      0.00890384
             358           -0.06       0.0356313        0.008883
             359           0.152       0.0359554      0.00886417
             360          -0.056          0.0357      0.00884322
             361           0.132       0.0359668      0.00882275
             362          -0.152       0.0354475      0.00881364
             363          -0.184        0.034843      0.00881007
             364           -0.24       0.0340879      0.00881816
             365          -0.164       0.0335452      0.00881069
             366          -0.088       0.0332131      0.00879287
             367          -0.176       0.0326431      0.00878737
             368          -0.116       0.0322391      0.00877277
             369          -0.244       0.0314905      0.00878088
             370            -0.3       0.0305946      0.00880274
             371           0.064       0.0306846      0.00877947
             372            0.34       0.0315161      0.00879516
             373           0.104       0.0317105      0.00877372
             374           0.096       0.0318824      0.00875195
             375            0.18       0.0322773      0.00873752
             376           0.108       0.0324787       0.0087166
             377            0.08       0.0326048      0.00869439
             378           0.164       0.0329524      0.00867834
             379           0.088       0.0330976      0.00865665
             380            -0.2       0.0324842      0.00865558
             381          -0.176        0.031937      0.00865014
             382          -0.136       0.0314974      0.00863866
             383           0.068       0.0315927      0.00861663
             384          -0.048       0.0313854      0.00859668
             385           -0.12       0.0309922      0.00858334
             386          -0.124       0.0305907      0.00857049
             387           0.124        0.030832      0.00855175
             388             0.2        0.031268      0.00854081
             389           0.288        0.031928      0.00854432
             390           0.356        0.032759      0.00856272
             391            0.04       0.0327775      0.00854084
             392           0.056       0.0328367      0.00851926
             393           0.096       0.0329975       0.0084991
             394            0.22       0.0334721      0.00849077
             395           0.056       0.0335291      0.00846946
             396           0.148       0.0338182      0.00845301
             397           0.184       0.0341965      0.00844018
             398           0.108       0.0343819      0.00842101
             399    -2.77556e-18       0.0342957      0.00840034
             400          -0.004          0.0342      0.00837989
             401           0.408       0.0351322      0.00841068
             402           0.116       0.0353333      0.00839216
             403          -0.028       0.0351762      0.00837281
             404           -0.18       0.0346436      0.00836901
             405            0.04       0.0346568      0.00834835
             406           0.048       0.0346897      0.00832785
             407     2.08167e-18       0.0346044      0.00830783
             408           0.028       0.0345882      0.00828748
             409          -0.256       0.0338778      0.00829762
             410          -0.236       0.0332195      0.00830345
             411          -0.376       0.0322238      0.00834273
             412          -0.252        0.031534      0.00835095
             413           0.092       0.0316804      0.00833201
             414          -0.008       0.0315845      0.00831244
             415            0.36       0.0323759      0.00832999
             416          -0.068       0.0321346      0.00831346
             417          -0.176       0.0316355       0.0083085
             418          -0.152       0.0311962      0.00830023
             419          -0.056       0.0309881      0.00828303
             420          -0.064       0.0307619      0.00826639
             421          -0.152       0.0303278      0.00825815
             422          -0.052       0.0301327      0.00824088
             423           0.144       0.0304019       0.0082258
             424            0.32       0.0310849       0.0082347
             425           0.068       0.0311718      0.00821578
             426          -0.072       0.0309296      0.00820007
             427           0.084       0.0310539      0.00818181
             428          -0.172       0.0305794      0.00817643
             429          -0.172       0.0301072        0.008171
             430           0.064        0.030186      0.00815238
             431           0.104       0.0303573      0.00813526
             432           0.208       0.0307685      0.00812681
             433           0.076        0.030873      0.00810872
             434           0.152       0.0311521      0.00809483
             435           0.232       0.0316138      0.00808938
             436           0.092       0.0317523      0.00807201
             437           0.056       0.0318078      0.00805373
             438           0.148       0.0320731      0.00803971
             439           0.164       0.0323736      0.00802702
             440            0.06       0.0324364      0.00800902
             441          -0.108       0.0321179      0.00799718
             442          -0.148       0.0317104      0.00798947
             443          -0.136       0.0313318       0.0079804
             444          -0.156       0.0309099      0.00797357
             445          -0.156       0.0304899      0.00796671
             446            0.02       0.0304664      0.00794888
             447          -0.064        0.030255       0.0079339
             448           0.092       0.0303929      0.00791739
             449            -0.1       0.0301024      0.00790508
             450             0.2         0.03048      0.00789653
             451           0.248       0.0309623      0.00789373
             452            -0.2       0.0304513      0.00789279
             453            0.02       0.0304283       0.0078754
             454           0.348       0.0311278      0.00788906
             455           0.324       0.0317714      0.00789793
             456           0.352       0.0324737      0.00791177
             457           0.488       0.0334705        0.007957
             458           0.124       0.0336681      0.00794208
             459           0.168       0.0339608      0.00793017
             460            0.22       0.0343652      0.00792324
             461           0.332       0.0350108      0.00793231
             462            0.04       0.0350216      0.00791515
             463          -0.004       0.0349374       0.0078985
             464          -0.052         0.03475       0.0078837
             465          -0.048        0.034572      0.00786876
             466            0.16       0.0348412      0.00785647
             467           0.416       0.0356574      0.00788193
             468            0.14       0.0358803      0.00786824
             469           0.136       0.0360938      0.00785436
             470          -0.088       0.0358298      0.00784209
             471           0.432       0.0366709      0.00787042
             472            0.08       0.0367627      0.00785428
             473           0.092       0.0368795      0.00783854
             474          -0.136       0.0365148      0.00783048
             475            0.06       0.0365642      0.00781415
             476           0.272       0.0370588      0.00781338
             477           0.388       0.0377945      0.00783156
             478           0.392       0.0385356      0.00785015
             479           0.356       0.0391983      0.00786169
             480           0.144       0.0394167      0.00784834
             481           0.284       0.0399252      0.00784848
             482           0.048       0.0399419      0.00783222
             483           0.076       0.0400166      0.00781636
             484           0.184        0.040314      0.00780587
             485           0.276          0.0408      0.00780488
             486           0.348       0.0414321      0.00781438
             487           0.176       0.0417084      0.00780322
             488          -0.052       0.0415164      0.00778959
             489          -0.052       0.0413252      0.00777601
             490           0.396        0.042049      0.00779375
             491            0.14       0.0422485      0.00778043
             492          -0.216       0.0417236       0.0077823
             493          -0.348       0.0409331      0.00780656
             494          -0.248       0.0403482      0.00781264
             495           -0.04       0.0401859      0.00779854
             496          -0.236        0.039629      0.00780268
             497           -0.08       0.0393883      0.00779069
             498           0.108       0.0395261      0.00777626
             499           0.184       0.0398156      0.00776607
             500           0.052         0.03984      0.00775057
             501           0.092       0.0399441       0.0077358
             502           0.104       0.0400717      0.00772144
             503           0.248       0.0404851      0.00771715
             504          -0.076        0.040254       0.0077053
             505           0.172       0.0405149      0.00769446
             506          -0.052        0.040332      0.00768142
             507            0.04       0.0403314      0.00766627
             508          -0.152       0.0399528      0.00766052
             509           0.172       0.0402122      0.00764986
             510          -0.188       0.0397647      0.00764794
