#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
             598          0.1792         0.15629      0.00317766
             599          0.1088        0.156211      0.00317334
             600          0.3048        0.156459       0.0031777
             601          0.0608          0.1563       0.0031764
             602          0.0968        0.156201      0.00317266
             603           0.388        0.156585       0.0031906
             604          0.0992         0.15649      0.00318673
             605          0.1352        0.156455      0.00318166
             606          0.2312        0.156578       0.0031788
             607          0.0768        0.156447      0.00317628
             608           0.208        0.156532      0.00317219
             609           0.116        0.156465      0.00316767
             610          0.1192        0.156404      0.00316307
             611          0.0928          0.1563      0.00315961
             612          0.0992        0.156207      0.00315582
             613          0.1448        0.156188      0.00315073
             614          0.2368        0.156319      0.00314833
             615          0.1192        0.156259      0.00314379
             616          0.1472        0.156244      0.00313872
             617          0.0928        0.156141      0.00313532
             618          0.1512        0.156133      0.00313025
             619          0.2568        0.156296      0.00312942
             620           0.096        0.156199      0.00312588
             621          0.1768        0.156232      0.00312102
             622          0.0808        0.156111      0.00311836
             623          0.1472        0.156096      0.00311339
             624          0.2112        0.156185      0.00310965
             625          0.1088        0.156109       0.0031056
             626          0.0352        0.155916      0.00310664
             627           0.228        0.156031      0.00310381
             628          0.0808        0.155911      0.00310118
             629          0.1408        0.155887      0.00309634
             630          0.4872        0.156413      0.00313577
             631          0.1632        0.156423      0.00313082
             632          0.3208        0.156684      0.00313665
             633           0.036        0.156493      0.00313748
             634          0.3688        0.156828      0.00315036
             635          0.0832        0.156712      0.00314753
             636          0.1512        0.156703      0.00314259
             637          0.1952        0.156764      0.00313824
             638          0.1032         0.15668      0.00313444
             639          0.2248        0.156786      0.00313135
             640            0.16        0.156791      0.00312646
             641           0.084        0.156678      0.00312364
             642           0.212        0.156764      0.00311997
             643          0.0712        0.156631      0.00311795
             644          0.3552        0.156939      0.00312832
             645          0.1792        0.156974      0.00312366
             646          0.2208        0.157072      0.00312039
             647           0.228        0.157182      0.00311749
             648           0.324         0.15744      0.00312329
             649           0.192        0.157493      0.00311893
             650           0.036        0.157306      0.00311973
             651          0.1768        0.157336      0.00311508
             652          0.1128        0.157267      0.00311105
             653          0.1032        0.157185      0.00310739
             654          0.1088        0.157111      0.00310352
             655          0.0552        0.156955      0.00310268
             656          0.2568        0.157107      0.00310168
             657          0.0512        0.156946      0.00310114
             658          0.1792         0.15698      0.00309661
             659          0.0808        0.156864      0.00309407
             660           0.096        0.156772      0.00309076
             661          0.0808        0.156657      0.00308822
             662          0.1248        0.156609      0.00308393
             663          0.1928        0.156664      0.00307976
             664           0.144        0.156645      0.00307518
             665          0.3112        0.156877      0.00307933
             666          0.5288        0.157435      0.00312493
             667          0.0512        0.157276       0.0031243
             668          0.1928        0.157329      0.00312008
             669          0.2208        0.157424      0.00311685
             670           0.116        0.157362      0.00311282
             671           0.164        0.157372      0.00310819
             672           0.468        0.157835      0.00313775
             673          0.1032        0.157753      0.00313414
             674          0.1832        0.157791      0.00312972
             675          0.1792        0.157823      0.00312524
             676          0.1832         0.15786      0.00312084
             677           0.128        0.157816      0.00311654
             678           0.096        0.157725      0.00311328
             679          0.0648        0.157588       0.0031117
             680          0.0648        0.157452      0.00311012
             681          0.2368        0.157568      0.00310773
             682           0.196        0.157625      0.00310369
             683           0.164        0.157634      0.00309916
             684           0.128        0.157591      0.00309493
             685          0.1608        0.157595      0.00309041
             686          0.1352        0.157563      0.00308608
             687          0.1568        0.157562      0.00308159
             688          0.0872        0.157459      0.00307881
             689          0.1448        0.157441      0.00307439
             690          0.0512        0.157287      0.00307379
             691          0.0968        0.157199      0.00307059
             692          0.2728        0.157366      0.00307069
             693          0.0552        0.157219       0.0030698
             694          0.1952        0.157274      0.00306586
             695          0.2152        0.157357      0.00306258
             696           0.208         0.15743      0.00305905
             697          0.1032        0.157352      0.00305565
             698          0.2432        0.157475      0.00305374
             699          0.0968        0.157388      0.00305061
