#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
             581           0.588         1.34352        0.045965
             582             0.8         1.34258       0.0458955
             583           0.504         1.34115       0.0458393
             584           0.608         1.33989        0.045778
             585           1.472         1.34012       0.0457003
             586           0.308         1.33835       0.0456562
             587           1.252         1.33821       0.0455787
             588           0.992         1.33762        0.045505
             589           0.576         1.33633       0.0454461
             590           0.444         1.33481       0.0453942
             591           0.604         1.33358       0.0453342
             592            0.26         1.33176       0.0452939
             593           1.628         1.33226       0.0452203
             594           3.792          1.3364       0.0453334
             595           1.084         1.33598       0.0452592
             596           1.332         1.33597       0.0451832
             597           1.584         1.33639       0.0451094
             598           0.736         1.33538       0.0450452
             599             1.3         1.33533         0.04497
             600           0.508         1.33395       0.0449162
             601            1.92         1.33492       0.0448521
             602           1.524         1.33524       0.0447786
             603           5.012         1.34133       0.0451176
             604            1.08          1.3409        0.045045
             605           0.824         1.34005       0.0449786
             606           0.528         1.33871       0.0449244
             607           0.336         1.33705       0.0448807
             608             1.6         1.33749        0.044809
             609           3.504         1.34104       0.0448764
             610           0.492         1.33965       0.0448244
             611           1.172         1.33938       0.0447519
             612           1.164         1.33909       0.0446797
             613           0.444         1.33763       0.0446307
             614           0.684         1.33657       0.0445707
             615           1.488         1.33681       0.0444989
             616           2.552         1.33879       0.0444703
             617           0.696         1.33774       0.0444105
             618           2.656         1.33988       0.0443898
             619            2.78          1.3422        0.044379
             620           0.932         1.34154       0.0443124
             621            0.94          1.3409       0.0442457
             622           0.816         1.34005       0.0441826
             623           2.308         1.34161        0.044139
             624            3.96          1.3458       0.0442673
             625           1.076         1.34537       0.0441986
             626           0.984         1.34479       0.0441317
             627           1.608         1.34521       0.0440634
             628           4.392         1.35006       0.0442595
             629            1.62         1.35049       0.0441912
             630           0.316         1.34885       0.0441515
             631           0.368          1.3473       0.0441089
             632           1.408         1.34739       0.0440392
             633           0.968         1.34679       0.0439738
             634           0.396         1.34529         0.04393
             635           1.096          1.3449       0.0438625
             636            0.34         1.34332        0.043822
             637             2.2         1.34467       0.0437738
             638            0.56         1.34344       0.0437225
             639           1.392         1.34351       0.0436542
             640           0.468         1.34214       0.0436074
             641           1.248           1.342       0.0435396
             642           0.676         1.34096       0.0434841
             643             0.7         1.33996       0.0434279
             644           0.508         1.33867       0.0433797
             645           2.116         1.33988       0.0433292
             646             1.1          1.3395       0.0432637
             647           1.728         1.34011        0.043201
             648           1.676         1.34062       0.0431374
             649            0.88         1.33991       0.0430768
             650           2.796         1.34215       0.0430687
             651             1.9         1.34301       0.0430111
             652           1.112         1.34266       0.0429466
             653            2.24         1.34403       0.0429028
             654             0.3         1.34243       0.0428669
             655           1.808         1.34315       0.0428074
             656            1.34         1.34314       0.0427421
             657           0.736         1.34222        0.042687
             658            1.04         1.34176       0.0426246
             659           1.884         1.34258       0.0425679
             660           0.624         1.34149       0.0425173
             661             0.7         1.34052       0.0424641
             662           1.436         1.34066       0.0424002
             663             0.8         1.33985       0.0423441
             664            2.04          1.3409       0.0422934
             665           0.612         1.33981        0.042244
             666            0.64         1.33876       0.0421936
             667           1.204         1.33855       0.0421309
             668           0.424         1.33719         0.04209
             669           3.812         1.34088       0.0421894
             670           0.996         1.34037       0.0421295
             671           0.496         1.33911       0.0420856
             672             0.5         1.33786       0.0420414
             673           0.964         1.33731       0.0419826
             674           1.712         1.33786        0.041924
             675           3.076         1.34044       0.0419409
             676           1.172         1.34019       0.0418796
             677           1.244         1.34005        0.041818
             678           1.144         1.33976       0.0417573
             679           0.384         1.33835       0.0417196
             680           0.432         1.33702       0.0416795
             681           0.996         1.33652       0.0416213
             682           0.944         1.33594       0.0415642
             683           0.508         1.33473       0.0415211
