#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         352      1.8774     1.79297  0.00351301
         353     1.87018     1.79319  0.00350986
         354      1.8277     1.79329   0.0035013
         355     1.82778     1.79338  0.00349279
         356     1.80661     1.79342  0.00348317
         357     1.82007     1.79349  0.00347422
         358     1.82201     1.79357  0.00346543
         359     1.82103     1.79365  0.00345662
         360     1.84039     1.79378  0.00344945
         361     1.85246     1.79394  0.00344372
         362     1.83009     1.79404  0.00343566
         363      1.8467     1.79419  0.00342925
         364      1.8527     1.79435   0.0034236
         365     1.83934     1.79447  0.00341644
         366     1.87886      1.7947  0.00341487
         367     1.85339     1.79486  0.00340931
         368     1.85604     1.79503   0.0034041
         369     1.85682      1.7952  0.00339899
         370     1.83013     1.79529  0.00339111
         371     1.86027     1.79547  0.00338649
         372      1.8606     1.79564  0.00338191
         373     1.85868     1.79581  0.00337707
         374     1.84895     1.79595  0.00337103
         375     1.91041     1.79626  0.00337583
         376     1.90852     1.79656  0.00338003
         377     1.89023      1.7968  0.00338018
         378     1.88798     1.79705  0.00337983
         379     1.85479      1.7972  0.00337435
         380       1.833     1.79729  0.00336678
         381     1.84335     1.79741  0.00336012
         382     1.86391     1.79759  0.00335583
         383     1.85984     1.79775    0.003351
         384     1.87558     1.79795  0.00334839
         385     1.85592      1.7981  0.00334308
         386      1.8374      1.7982  0.00333597
         387     1.84256     1.79832  0.00332932
         388     1.81746     1.79837   0.0033211
         389     1.80061     1.79837  0.00331257
         390     1.84095     1.79848  0.00330587
         391     1.83793     1.79858  0.00329896
         392     1.83687     1.79868  0.00329199
         393     1.85604     1.79883  0.00328685
         394     1.85468     1.79897  0.00328156
         395     1.82776     1.79904  0.00327406
         396      1.8399     1.79915  0.00326742
         397     1.84979     1.79927  0.00326168
         398     1.80253     1.79928  0.00325349
         399     1.81996     1.79933  0.00324575
         400     1.81895     1.79938  0.00323801
         401      1.7891     1.79936  0.00323003
         402     1.76774     1.79928  0.00322296
         403     1.76763      1.7992  0.00321591
         404     1.77253     1.79913  0.00320863
         405     1.76764     1.79906  0.00320165
         406     1.77071     1.79899  0.00319453
         407      1.7333     1.79882  0.00319075
         408      1.7402     1.79868  0.00318616
         409     1.73502     1.79853  0.00318217
         410     1.72956     1.79836  0.00317885
         411     1.74348     1.79822  0.00317392
         412     1.74148     1.79809  0.00316921
         413     1.77493     1.79803  0.00316203
         414      1.7716     1.79797  0.00315503
         415     1.78546     1.79794  0.00314758
         416     1.82174     1.79799  0.00314053
         417     1.83189     1.79807  0.00313405
         418     1.81658     1.79812  0.00312687
         419      1.8513     1.79825  0.00312198
         420     1.86069     1.79839  0.00311808
         421     1.83343     1.79848  0.00311179
         422     1.84409     1.79859  0.00310629
         423     1.83489     1.79867  0.00310013
         424     1.80597     1.79869  0.00309287
         425     1.82904     1.79876  0.00308641
         426     1.83627     1.79885  0.00308043
         427     1.84939     1.79897  0.00307548
         428     1.85116     1.79909  0.00307072
         429     1.87937     1.79928  0.00306925
         430     1.85489      1.7994  0.00306484
         431     1.85646     1.79954  0.00306059
         432     1.82931     1.79961  0.00305428
         433      1.7815     1.79956  0.00304751
         434     1.80504     1.79958  0.00304052
         435     1.77346     1.79952  0.00303412
         436     1.80474     1.79953  0.00302718
         437     1.83192      1.7996  0.00302116
         438     1.81591     1.79964   0.0030145
         439     1.84617     1.79975  0.00300949
         440     1.84393     1.79985  0.00300433
         441     1.81762     1.79989  0.00299778
         442      1.8522     1.80001  0.00299334
         443     1.84354      1.8001  0.00298819
         444     1.88105     1.80029  0.00298702
         445     1.83147     1.80036  0.00298113
         446     1.85979     1.80049  0.00297742
         447     1.83856     1.80057  0.00297198
         448     1.82527     1.80063  0.00296586
         449     1.79222     1.80061  0.00295931
         450     1.80682     1.80062  0.00295277
         451     1.77525     1.80057  0.00294676
         452      1.8027     1.80057  0.00294024
         453     1.77462     1.80052  0.00293431
         454     1.79931     1.80051  0.00292785
         455     1.79846     1.80051  0.00292141
         456     1.80404     1.80052  0.00291502
         457     1.78666     1.80049   0.0029088
         458     1.81062     1.80051  0.00290253
         459     1.81852     1.80055  0.00289647
         460     1.82099     1.80059  0.00289052
         461     1.84355     1.80068  0.00288575
         462     1.86693     1.80083  0.00288306
         463      1.8971     1.80104  0.00288432
         464      1.8739     1.80119  0.00288238
         465     1.85492     1.80131  0.00287849
         466     1.87865     1.80147   0.0028771
         467       1.842     1.80156  0.00287225
         468     1.86332     1.80169  0.00286914
         469     1.82259     1.80174  0.00286337
         470     1.82685     1.80179  0.00285777
         471     1.82802     1.80185  0.00285225
         472     1.83085     1.80191  0.00284687
         473     1.80757     1.80192  0.00284087
         474     1.80919     1.80194  0.00283492
         475     1.78549      1.8019  0.00282916
         476     1.76507     1.80182  0.00282428
         477     1.78585     1.80179  0.00281856
         478     1.73658     1.80165  0.00281596
         479     1.77316     1.80159  0.00281071
         480      1.7428     1.80147  0.00280752
         481     1.75874     1.80138  0.00280309
         482     1.74657     1.80127  0.00279958
         483      1.7803     1.80123  0.00279412
         484     1.78245     1.80119  0.00278862
         485     1.79243     1.80117  0.00278293
         486     1.79239     1.80115  0.00277726
         487     1.79237     1.80113  0.00277161
         488     1.78395      1.8011  0.00276616
         489      1.7868     1.80107  0.00276066
         490     1.76024     1.80099  0.00275628
         491     1.77178     1.80093  0.00275131
         492     1.77961     1.80088  0.00274606
         493     1.75711     1.80079  0.00274192
         494     1.80107     1.80079  0.00273637
         495     1.78827     1.80077  0.00273096
         496     1.81471      1.8008   0.0027256
         497     1.82437     1.80084  0.00272053
         498      1.8523     1.80095  0.00271703
         499     1.84041     1.80103  0.00271273
         500     1.86105     1.80115  0.00270996
         501     1.87584      1.8013  0.00270865
         502     1.86656     1.80143  0.00270637
         503     1.88674      1.8016   0.0027063
         504     1.88497     1.80176  0.00270598
         505     1.91605     1.80199  0.00271007
         506     1.88999     1.80216  0.00271029
         507     1.87015      1.8023  0.00270826
         508     1.85556      1.8024  0.00270496
         509     1.84665     1.80249  0.00270104
         510     1.81196     1.80251  0.00269581
         511      1.8537     1.80261  0.00269239
         512     1.83178     1.80266  0.00268774
         513     1.87355      1.8028  0.00268605
         514     1.88167     1.80295   0.0026852
         515     1.88082     1.80311  0.00268424
         516     1.87326     1.80324  0.00268248
         517     1.88446      1.8034  0.00268189
         518     1.85364      1.8035  0.00267846
         519     1.85198     1.80359  0.00267493
         520     1.82937     1.80364  0.00267025
         521     1.84638     1.80372  0.00266638
         522     1.85146     1.80381  0.00266284
         523     1.84157     1.80388  0.00265873
         524     1.83761     1.80395  0.00265443
         525     1.88042     1.80409  0.00265337
         526     1.83258     1.80415  0.00264888
         527     1.86148     1.80426  0.00264609
         528     1.82189     1.80429  0.00264128
         529     1.83858     1.80436  0.00263709
         530     1.81474     1.80438  0.00263218
         531     1.79503     1.80436  0.00262729
         532     1.79672     1.80434  0.00262239
         533     1.80339     1.80434  0.00261747
         534     1.79394     1.80432  0.00261264
         535     1.80619     1.80433  0.00260776
         536     1.83126     1.80438  0.00260338
         537     1.82506     1.80441  0.00259881
         538      1.8537     1.80451   0.0025956
         539     1.82692     1.80455  0.00259111
         540     1.83148      1.8046   0.0025868
         541       1.771     1.80454  0.00258276
         542     1.75326     1.80444  0.00257973
         543     1.75804     1.80436  0.00257639
         544     1.73824     1.80423  0.00257452
         545     1.76614     1.80416  0.00257074
         546     1.75898     1.80408  0.00256737
