#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         437     1.73663     1.69341   0.0100212
         438     1.73096      1.6935  0.00999872
         439      1.7243     1.69357  0.00997619
         440     1.71755     1.69363  0.00995366
         441     1.71137     1.69367  0.00993117
         442     1.70649     1.69369  0.00990875
         443     1.70364     1.69372   0.0098864
         444     1.70289     1.69374  0.00986416
         445     1.70316     1.69376  0.00984202
         446     1.70239     1.69378  0.00981997
         447     1.69839     1.69379    0.009798
         448     1.68949     1.69378  0.00977614
         449     1.67463     1.69374  0.00975446
         450     1.65287     1.69365   0.0097332
         451     1.62352     1.69349  0.00971286
         452     1.58752     1.69326   0.0096942
         453     1.54935     1.69294  0.00967801
         454     1.51747     1.69255  0.00966441
         455     1.50049     1.69213  0.00965238
         456     1.50067     1.69171  0.00964034
         457     1.51213     1.69132  0.00962725
         458      1.5257     1.69095  0.00961302
         459     1.53474     1.69061   0.0095981
         460     1.53712     1.69028  0.00958303
         461     1.53434     1.68994  0.00956821
         462        1.53      1.6896  0.00955376
         463     1.52842     1.68925  0.00953947
         464     1.53339     1.68891  0.00952482
         465     1.54681     1.68861  0.00950924
         466     1.56787     1.68835  0.00949236
         467      1.5933     1.68814  0.00947422
         468     1.61887       1.688  0.00945513
         469     1.64131      1.6879  0.00943549
         470     1.65956     1.68784  0.00941561
         471     1.67472     1.68781  0.00939566
         472     1.68889     1.68781  0.00937575
         473     1.70389     1.68784  0.00935599
         474     1.72025     1.68791  0.00933651
         475     1.73712     1.68802  0.00931742
         476     1.75267     1.68815  0.00929884
         477     1.76493     1.68831  0.00928074
         478      1.7725     1.68849  0.00926299
         479     1.77509     1.68867  0.00924542
         480     1.77352     1.68885  0.00922785
         481     1.76919     1.68901  0.00921017
         482     1.76321     1.68917  0.00919235
         483     1.75568     1.68931  0.00917435
         484     1.74572     1.68942  0.00915614
         485     1.73259     1.68951  0.00913769
         486     1.71686     1.68957  0.00911906
         487     1.70075     1.68959  0.00910037
         488     1.68695     1.68959  0.00908172
         489     1.67677     1.68956  0.00906319
         490     1.66918     1.68952  0.00904479
         491     1.66179     1.68946  0.00902654
         492     1.65263     1.68939   0.0090085
         493     1.64109     1.68929  0.00899076
         494     1.62816     1.68916  0.00897342
         495     1.61606     1.68902   0.0089565
         496     1.60762     1.68885  0.00893995
         497     1.60549     1.68868  0.00892353
         498     1.61094     1.68853  0.00890698
         499     1.62291      1.6884   0.0088901
         500     1.63815      1.6883  0.00887289
         501     1.65256     1.68823  0.00885547
         502     1.66273     1.68817  0.00883797
         503     1.66654     1.68813  0.00882051
         504     1.66293     1.68808  0.00880315
         505     1.65143     1.68801  0.00878601
         506     1.63226      1.6879  0.00876934
         507      1.6073     1.68774  0.00875348
         508     1.58121     1.68753  0.00873876
         509      1.5612     1.68728  0.00872512
         510     1.55382     1.68702  0.00871194
         511     1.56064     1.68677   0.0086984
         512     1.57707     1.68656  0.00868405
         513     1.59563     1.68638  0.00866893
         514     1.61007     1.68623  0.00865333
         515     1.61736      1.6861  0.00863756
         516     1.61744     1.68597  0.00862185
         517     1.61236     1.68582  0.00860635
         518     1.60536     1.68567  0.00859113
         519     1.60017      1.6855  0.00857616
         520     1.60006     1.68534  0.00856124
         521     1.60632     1.68519  0.00854615
         522     1.61739     1.68506  0.00853077
         523     1.62979     1.68495  0.00851511
         524     1.64032     1.68487  0.00849929
         525     1.64743      1.6848   0.0084834
         526     1.65097     1.68473  0.00846751
         527     1.65129     1.68467  0.00845168
         528     1.64864      1.6846  0.00843595
         529     1.64298     1.68452  0.00842037
         530     1.63393     1.68443  0.00840503
         531     1.62104     1.68431  0.00839004
         532     1.60417     1.68416  0.00837563
         533     1.58392     1.68397  0.00836202
         534     1.56168     1.68374   0.0083495
         535     1.53947     1.68347  0.00833824
         536      1.5198     1.68316  0.00832828
         537     1.50556     1.68283  0.00831933
         538     1.49932     1.68249  0.00831086
         539     1.50182     1.68216   0.0083022
         540     1.51112     1.68184  0.00829286
         541     1.52352     1.68155   0.0082827
         542     1.53544     1.68128   0.0082718
         543      1.5449     1.68103  0.00826038
         544      1.5516     1.68079  0.00824862
         545     1.55634     1.68056  0.00823664
         546     1.56043     1.68034   0.0082245
         547     1.56548     1.68013  0.00821214
         548     1.57313     1.67993  0.00819948
         549     1.58419     1.67976   0.0081864
         550     1.59787     1.67961  0.00817287
         551     1.61223     1.67949  0.00815895
         552     1.62575     1.67939  0.00814475
         553     1.63831     1.67932  0.00813036
         554     1.65095     1.67927  0.00811584
         555     1.66455     1.67924  0.00810126
         556     1.67832     1.67924  0.00808669
         557     1.68952     1.67926   0.0080722
         558     1.69464     1.67928  0.00805778
         559     1.69152     1.67931  0.00804339
         560     1.68083     1.67931  0.00802903
         561     1.66616     1.67929  0.00801475
         562      1.6529     1.67924  0.00800063
         563     1.64632     1.67918  0.00798663
         564      1.6498     1.67913  0.00797264
         565     1.66395      1.6791  0.00795857
         566     1.68667     1.67911  0.00794452
         567      1.7139     1.67918  0.00793075
         568     1.74082     1.67928  0.00791753
         569     1.76298     1.67943  0.00790498
         570     1.77708      1.6796  0.00789297
         571     1.78133     1.67978  0.00788116
         572     1.77537     1.67995  0.00786915
         573     1.76013     1.68009  0.00785666
         574     1.73762     1.68019  0.00784361
         575     1.71065     1.68024  0.00783015
         576      1.6824     1.68024  0.00781656
         577     1.65572      1.6802  0.00780312
         578     1.63271     1.68012  0.00779006
         579     1.61431     1.68001  0.00777743
         580     1.60026     1.67987  0.00776524
         581     1.58931     1.67971  0.00775344
         582     1.57975     1.67954  0.00774202
         583     1.57004     1.67935  0.00773102
         584     1.55949     1.67915   0.0077205
         585     1.54852     1.67893  0.00771053
         586     1.53846     1.67869   0.0077011
         587     1.53093     1.67843  0.00769209
         588     1.52746     1.67818  0.00768329
         589     1.52929     1.67792  0.00767441
         590     1.53733     1.67769   0.0076651
         591     1.55181     1.67747  0.00765509
         592     1.57183     1.67729  0.00764424
         593     1.59519     1.67716   0.0076326
         594     1.61897     1.67706  0.00762038
         595     1.64049       1.677  0.00760782
         596      1.6581     1.67696  0.00759512
         597     1.67154     1.67696   0.0075824
         598     1.68157     1.67696  0.00756973
         599      1.6895     1.67698  0.00755712
         600     1.69653     1.67702  0.00754459
         601     1.70334     1.67706  0.00753217
         602     1.70994     1.67712  0.00751985
         603     1.71585     1.67718  0.00750766
         604     1.72038     1.67725  0.00749557
         605     1.72294     1.67733  0.00748356
         606     1.72302      1.6774  0.00747159
         607     1.72043     1.67747  0.00745962
         608     1.71549     1.67754  0.00744761
         609      1.7092     1.67759  0.00743556
         610      1.7033     1.67763  0.00742349
         611     1.69959     1.67767  0.00741143
         612     1.69928      1.6777   0.0073994
         613     1.70248     1.67774  0.00738744
         614     1.70834     1.67779  0.00737558
         615     1.71527     1.67785  0.00736384
         616     1.72121     1.67792  0.00735222
         617     1.72402       1.678  0.00734068
         618     1.72201     1.67807  0.00732915
         619     1.71436     1.67813  0.00731754
         620      1.7013     1.67816  0.00730584
         621     1.68389     1.67817  0.00729408
         622     1.66369     1.67815  0.00728239
         623     1.64233     1.67809  0.00727093
         624     1.62125       1.678  0.00725985
         625     1.60165     1.67788  0.00724926
         626     1.58443     1.67773  0.00723921
         627     1.57044     1.67756  0.00722969
         628     1.56046     1.67737  0.00722058
         629     1.55512     1.67718  0.00721172
