#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         625    0.868021    0.905694  0.00351077
         626    0.859479     0.90562  0.00350594
         627    0.852482    0.905535  0.00350137
         628    0.847465    0.905443  0.00349702
         629    0.844749    0.905346  0.00349279
         630    0.844423     0.90525  0.00348858
         631    0.846247    0.905156  0.00348431
         632    0.849652    0.905068   0.0034799
         633    0.854045    0.904988  0.00347534
         634     0.85921    0.904915  0.00347061
         635    0.865378    0.904853   0.0034657
         636    0.873082    0.904803  0.00346061
         637    0.882706    0.904768  0.00345535
         638    0.894151    0.904752  0.00344998
         639    0.906716    0.904755  0.00344458
         640    0.919332    0.904778  0.00343927
         641    0.930884    0.904818  0.00343415
         642     0.94036    0.904874  0.00342924
         643    0.947003    0.904939  0.00342454
         644    0.950318     0.90501  0.00341994
         645    0.950208     0.90508  0.00341536
         646    0.946936    0.905145  0.00341069
         647    0.941143      0.9052  0.00340587
         648    0.933573    0.905244   0.0034009
         649    0.924837    0.905274  0.00339579
         650    0.915334     0.90529   0.0033906
         651    0.905418     0.90529  0.00338539
         652    0.895536    0.905275  0.00338023
         653    0.886265    0.905246  0.00337518
         654    0.878323    0.905205  0.00337027
         655    0.872734    0.905155  0.00336549
         656    0.870737    0.905103  0.00336077
         657    0.873283    0.905054    0.003356
         658    0.880339    0.905017  0.00335111
         659    0.890402    0.904994   0.0033461
         660    0.900962    0.904988  0.00334104
         661     0.90958    0.904995  0.00333599
         662     0.91479     0.90501  0.00333098
         663    0.916357    0.905027    0.003326
         664    0.915034    0.905042  0.00332103
         665    0.912204    0.905053  0.00331605
         666    0.909347    0.905059  0.00331108
         667    0.907746    0.905064  0.00330612
         668    0.908281    0.905068  0.00330117
         669    0.911216    0.905078  0.00329625
         670    0.916169    0.905094  0.00329137
         671    0.922106    0.905119  0.00328656
         672    0.927528    0.905153  0.00328184
         673    0.930738    0.905191  0.00327719
         674    0.930145    0.905228  0.00327253
         675    0.924544    0.905256  0.00326781
         676    0.913422    0.905269    0.003263
         677    0.897398    0.905257   0.0032582
         678    0.878404    0.905217  0.00325363
         679    0.859649     0.90515  0.00324953
         680    0.844945    0.905062  0.00324596
         681    0.837417    0.904962  0.00324271
         682    0.838192    0.904864  0.00323944
         683    0.845884    0.904778  0.00323585
         684    0.857486    0.904709  0.00323185
         685    0.869776    0.904658  0.00322754
         686    0.880368    0.904623  0.00322303
         687    0.887849    0.904598  0.00321843
         688     0.89144    0.904579  0.00321381
         689    0.890603    0.904559  0.00320921
         690    0.885135    0.904531  0.00320468
         691    0.875667    0.904489  0.00320031
         692    0.864436    0.904431  0.00319621
         693    0.855387     0.90436  0.00319238
         694    0.852778    0.904286  0.00318865
         695    0.858794     0.90422  0.00318473
         696    0.872522    0.904175  0.00318048
         697    0.891174    0.904156  0.00317597
         698     0.91158    0.904167  0.00317144
         699     0.93086    0.904205  0.00316713
         700    0.946545    0.904265  0.00316319
         701    0.956689     0.90434  0.00315956
         702    0.960064     0.90442  0.00315605
         703    0.956314    0.904493  0.00315243
         704    0.945953    0.904552   0.0031485
         705    0.930304    0.904589  0.00314425
         706    0.911346    0.904598  0.00313981
         707    0.891641     0.90458  0.00313542
         708    0.874059    0.904537  0.00313129
         709    0.861307    0.904476  0.00312746
         710    0.855157    0.904407  0.00312383
         711    0.855866    0.904338  0.00312018
         712    0.862138    0.904279  0.00311636
         713     0.87196    0.904234  0.00311232
         714    0.883643    0.904205   0.0031081
         715    0.896135    0.904194  0.00310377
         716    0.908518      0.9042  0.00309944
         717     0.91956    0.904221  0.00309519
         718    0.927964    0.904254  0.00309106
         719     0.93283    0.904294  0.00308702
         720    0.933918    0.904335    0.003083
         721    0.931282    0.904372  0.00307895
         722    0.925013    0.904401  0.00307482
         723    0.915371    0.904416  0.00307061
         724     0.90315    0.904414  0.00306636
         725    0.889889    0.904394   0.0030622
         726    0.877705    0.904358   0.0030582
         727    0.868782    0.904309  0.00305439
         728    0.864614    0.904254  0.00305068
         729     0.86555    0.904201  0.00304696
         730    0.870679    0.904155  0.00304313
         731    0.878343     0.90412  0.00303917
