#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         486    -5.07735    -5.05203  0.00915714
         487    -5.06152    -5.05205  0.00913836
         488    -5.04808    -5.05204  0.00911964
         489    -5.03807    -5.05201  0.00910103
         490    -5.03098    -5.05197  0.00908256
         491    -5.02316    -5.05191  0.00906425
         492    -5.01392    -5.05183  0.00904616
         493    -5.00219    -5.05173  0.00902837
         494     -4.9897     -5.0516  0.00901097
         495    -4.97766    -5.05145    0.008994
         496    -4.97046    -5.05129  0.00897735
         497    -4.96991    -5.05113  0.00896078
         498    -4.97653    -5.05098  0.00894404
         499    -4.98896    -5.05085  0.00892698
         500    -5.00386    -5.05076  0.00890962
         501    -5.01776    -5.05069  0.00889208
         502    -5.02819    -5.05065  0.00887448
         503    -5.03123    -5.05061  0.00885692
         504    -5.02698    -5.05056  0.00883947
         505    -5.01539    -5.05049  0.00882224
         506    -4.99509    -5.05038  0.00880548
         507    -4.96983    -5.05022  0.00878955
         508     -4.9442    -5.05002  0.00877472
         509    -4.92482    -5.04977  0.00876093
         510    -4.91913    -5.04951   0.0087475
         511    -4.92793    -5.04928  0.00873361
         512    -4.94427    -5.04907  0.00871896
         513    -4.96247     -5.0489   0.0087036
         514     -4.9761    -5.04876  0.00868782
         515    -4.98278    -5.04863   0.0086719
         516    -4.98186     -5.0485  0.00865606
         517    -4.97623    -5.04836  0.00864044
         518    -4.96858    -5.04821  0.00862513
         519    -4.96406    -5.04805  0.00861004
         520    -4.96507    -5.04789  0.00859496
         521    -4.97203    -5.04774   0.0085797
         522    -4.98285    -5.04762  0.00856416
         523    -4.99483    -5.04752  0.00854838
         524    -5.00525    -5.04744  0.00853245
         525    -5.01237    -5.04737  0.00851646
         526    -5.01515    -5.04731  0.00850048
         527    -5.01495    -5.04725  0.00848458
         528    -5.01319    -5.04718  0.00846875
         529    -5.00777    -5.04711  0.00845307
         530    -4.99831    -5.04702  0.00843762
         531    -4.98461     -5.0469  0.00842255
         532     -4.9667    -5.04675  0.00840807
         533    -4.94601    -5.04656  0.00839442
         534    -4.92393    -5.04633  0.00838184
         535     -4.9015    -5.04606  0.00837054
         536    -4.88157    -5.04575  0.00836055
         537    -4.86705    -5.04542   0.0083516
         538     -4.8615    -5.04508  0.00834307
         539    -4.86462    -5.04474  0.00833431
         540    -4.87415    -5.04443  0.00832486
         541    -4.88699    -5.04413  0.00831455
         542    -4.89901    -5.04387  0.00830352
         543    -4.90812    -5.04362    0.008292
         544    -4.91562    -5.04338  0.00828009
         545    -4.91982    -5.04315    0.008268
         546    -4.92329    -5.04294  0.00825577
         547     -4.9288    -5.04273  0.00824331
         548    -4.93727    -5.04253  0.00823052
         549    -4.94919    -5.04236  0.00821728
         550     -4.9626    -5.04222  0.00820362
         551    -4.97668     -5.0421   0.0081896
         552    -4.99077    -5.04201  0.00817529
         553    -5.00393    -5.04194  0.00816079
         554    -5.01702    -5.04189  0.00814619
         555    -5.03001    -5.04187  0.00813154
         556    -5.04433    -5.04188  0.00811691
         557    -5.05479     -5.0419  0.00810237
         558    -5.05879    -5.04193  0.00808791
         559    -5.05475    -5.04195  0.00807347
         560    -5.04335    -5.04196  0.00805906
         561    -5.02843    -5.04193  0.00804473
         562    -5.01544    -5.04188  0.00803055
         563    -5.00943    -5.04183  0.00801649
         564    -5.01408    -5.04178  0.00800243
         565    -5.02817    -5.04175   0.0079883
         566    -5.05159    -5.04177  0.00797421
         567    -5.07863    -5.04184  0.00796041
         568    -5.10508    -5.04195  0.00794717
         569    -5.12626    -5.04209  0.00793459
         570    -5.13942    -5.04227  0.00792251
         571     -5.1424    -5.04244  0.00791057
         572     -5.1354     -5.0426  0.00789841
         573    -5.11958    -5.04274  0.00788577
         574    -5.09696    -5.04283   0.0078726
         575    -5.06975    -5.04288  0.00785904
         576    -5.04103    -5.04288   0.0078454
         577    -5.01438    -5.04283  0.00783196
         578    -4.99185    -5.04274  0.00781891
